model,params,best_calibrator,threshold,constraint_feasible,constraint_violation,fn_inner_oof,fp_inner_oof,fnr_inner_oof,fpr_inner_oof,sens_inner_oof,spec_inner_oof,pr_auc_mean,brier_mean,roc_auc_mean,ece_mean
svm_rbf,"{""C"": 1.0, ""class_weight"": {""0"": 1, ""1"": 3}, ""gamma"": 0.003}",platt,0.2648454363056501,0,4.5,4,27,0.14814814814814814,0.216,0.8518518518518519,0.784,0.629486207605116,0.11593798057927018,0.8717684002236847,0.12239276063356823
svm_rbf,"{""C"": 1.0, ""class_weight"": {""0"": 1, ""1"": 2}, ""gamma"": 0.003}",platt,0.24787038030941105,0,4.833333333333333,3,29,0.1111111111111111,0.232,0.8888888888888888,0.768,0.6209640238725206,0.11499581768004112,0.8690798812750032,0.12815993228162706
svm_rbf,"{""C"": 0.3, ""class_weight"": {""0"": 1, ""1"": 5}, ""gamma"": 0.003}",platt,0.23413384441105847,0,4.833333333333333,4,29,0.14814814814814814,0.232,0.8518518518518519,0.768,0.6226664004114985,0.12209877638521434,0.864649202047576,0.11328094543043428
svm_rbf,"{""C"": 0.3, ""class_weight"": {""0"": 1, ""1"": 8}, ""gamma"": 0.003}",platt,0.2299127315222454,0,5.0,4,30,0.14814814814814814,0.24,0.8518518518518519,0.76,0.620023221439817,0.12218426156920388,0.8628640254656516,0.10685807527960221
svm_rbf,"{""C"": 0.3, ""class_weight"": {""0"": 1, ""1"": 12}, ""gamma"": 0.003}",platt,0.2299127315222454,0,5.0,4,30,0.14814814814814814,0.24,0.8518518518518519,0.76,0.620023221439817,0.12218426156920388,0.8628640254656516,0.10685807527960221
svm_rbf,"{""C"": 0.3, ""class_weight"": {""0"": 1, ""1"": 15}, ""gamma"": 0.003}",platt,0.2299127315222454,0,5.0,4,30,0.14814814814814814,0.24,0.8518518518518519,0.76,0.620023221439817,0.12218426156920388,0.8628640254656516,0.10685807527960221
svm_rbf,"{""C"": 0.3, ""class_weight"": {""0"": 1, ""1"": 20}, ""gamma"": 0.003}",platt,0.2299127315222454,0,5.0,4,30,0.14814814814814814,0.24,0.8518518518518519,0.76,0.620023221439817,0.12218426156920388,0.8628640254656516,0.10685807527960221
svm_rbf,"{""C"": 0.3, ""class_weight"": {""0"": 1, ""1"": 30}, ""gamma"": 0.003}",platt,0.2299127315222454,0,5.0,4,30,0.14814814814814814,0.24,0.8518518518518519,0.76,0.620023221439817,0.12218426156920388,0.8628640254656516,0.10685807527960221
svm_rbf,"{""C"": 3.0, ""class_weight"": ""balanced"", ""gamma"": 0.003}",platt,0.24999248821782877,0,5.0,4,30,0.14814814814814814,0.24,0.8518518518518519,0.76,0.6182792113951535,0.1155692748222416,0.8644986449864499,0.12654729228160622
svm_rbf,"{""C"": 0.1, ""class_weight"": {""0"": 1, ""1"": 5}, ""gamma"": 0.003}",platt,0.20142769900643523,0,5.0,5,26,0.18518518518518517,0.208,0.8148148148148148,0.792,0.6226664004114985,0.14132241559541606,0.864649202047576,0.16120635645418935
svm_rbf,"{""C"": 0.03, ""class_weight"": ""balanced"", ""gamma"": 0.003}",platt,0.19262945221547703,0,5.0,5,26,0.18518518518518517,0.208,0.8148148148148148,0.792,0.6114230141681122,0.1461238285081651,0.8664128704779112,0.014718231722366748
svm_rbf,"{""C"": 0.1, ""class_weight"": ""balanced"", ""gamma"": 0.003}",platt,0.19575503128608363,0,5.0,5,26,0.18518518518518517,0.208,0.8148148148148148,0.792,0.6088509977072069,0.14436543018213024,0.8655310362627436,0.08792286218207947
svm_rbf,"{""C"": 0.03, ""class_weight"": {""0"": 1, ""1"": 5}, ""gamma"": 0.003}",platt,0.19316777689681908,0,5.0,5,27,0.18518518518518517,0.216,0.8148148148148148,0.784,0.625311903057001,0.14581639528691206,0.8655310362627436,0.014800048547636205
svm_rbf,"{""C"": 0.3, ""class_weight"": ""balanced"", ""gamma"": 0.003}",platt,0.21773953455160788,0,5.0,5,27,0.18518518518518517,0.216,0.8148148148148148,0.784,0.6088509977072069,0.13282847363338382,0.8655310362627436,0.13747620644226358
svm_rbf,"{""C"": 1.0, ""class_weight"": ""balanced"", ""gamma"": 0.003}",platt,0.2576595944033747,0,5.0,5,28,0.18518518518518517,0.224,0.8148148148148148,0.776,0.6049408743036194,0.1141546777292695,0.8646276938959866,0.10201934387930149
svm_rbf,"{""C"": 0.3, ""class_weight"": {""0"": 1, ""1"": 2}, ""gamma"": 0.003}",platt,0.23254005255799626,0,5.0,5,28,0.18518518518518517,0.224,0.8148148148148148,0.776,0.5837512569130215,0.1133943984790987,0.8467329117735621,0.09944985240660247
svm_rbf,"{""C"": 0.1, ""class_weight"": {""0"": 1, ""1"": 8}, ""gamma"": 0.003}",platt,0.20042751290146615,0,5.0,5,29,0.18518518518518517,0.232,0.8148148148148148,0.768,0.620023221439817,0.1413809232538837,0.8628640254656516,0.16136878688302994
svm_rbf,"{""C"": 0.1, ""class_weight"": {""0"": 1, ""1"": 12}, ""gamma"": 0.003}",platt,0.20042751290146615,0,5.0,5,29,0.18518518518518517,0.232,0.8148148148148148,0.768,0.620023221439817,0.1413809232538837,0.8628640254656516,0.16136878688302994
svm_rbf,"{""C"": 0.1, ""class_weight"": {""0"": 1, ""1"": 15}, ""gamma"": 0.003}",platt,0.20042751290146615,0,5.0,5,29,0.18518518518518517,0.232,0.8148148148148148,0.768,0.620023221439817,0.1413809232538837,0.8628640254656516,0.16136878688302994
svm_rbf,"{""C"": 0.1, ""class_weight"": {""0"": 1, ""1"": 20}, ""gamma"": 0.003}",platt,0.20042751290146615,0,5.0,5,29,0.18518518518518517,0.232,0.8148148148148148,0.768,0.620023221439817,0.1413809232538837,0.8628640254656516,0.16136878688302994
svm_rbf,"{""C"": 0.1, ""class_weight"": {""0"": 1, ""1"": 30}, ""gamma"": 0.003}",platt,0.20042751290146615,0,5.0,5,29,0.18518518518518517,0.232,0.8148148148148148,0.768,0.620023221439817,0.1413809232538837,0.8628640254656516,0.16136878688302994
svm_rbf,"{""C"": 0.03, ""class_weight"": {""0"": 1, ""1"": 8}, ""gamma"": 0.003}",platt,0.1931144955035609,0,5.0,5,29,0.18518518518518517,0.232,0.8148148148148148,0.768,0.620023221439817,0.14582179655839714,0.8628640254656516,0.014786041398342173
svm_rbf,"{""C"": 0.03, ""class_weight"": {""0"": 1, ""1"": 12}, ""gamma"": 0.003}",platt,0.1931144955035609,0,5.0,5,29,0.18518518518518517,0.232,0.8148148148148148,0.768,0.620023221439817,0.14582179655839714,0.8628640254656516,0.014786041398342173
svm_rbf,"{""C"": 0.03, ""class_weight"": {""0"": 1, ""1"": 15}, ""gamma"": 0.003}",platt,0.1931144955035609,0,5.0,5,29,0.18518518518518517,0.232,0.8148148148148148,0.768,0.620023221439817,0.14582179655839714,0.8628640254656516,0.014786041398342173
svm_rbf,"{""C"": 0.03, ""class_weight"": {""0"": 1, ""1"": 20}, ""gamma"": 0.003}",platt,0.1931144955035609,0,5.0,5,29,0.18518518518518517,0.232,0.8148148148148148,0.768,0.620023221439817,0.14582179655839714,0.8628640254656516,0.014786041398342173
svm_rbf,"{""C"": 0.03, ""class_weight"": {""0"": 1, ""1"": 30}, ""gamma"": 0.003}",platt,0.1931144955035609,0,5.0,5,29,0.18518518518518517,0.232,0.8148148148148148,0.768,0.620023221439817,0.14582179655839714,0.8628640254656516,0.014786041398342173
svm_rbf,"{""C"": 0.1, ""class_weight"": {""0"": 1, ""1"": 2}, ""gamma"": 0.003}",platt,0.20446004201109613,0,5.0,5,30,0.18518518518518517,0.24,0.8148148148148148,0.76,0.5887865478143256,0.13518500482849263,0.8467114036219727,0.13815335402565185
svm_rbf,"{""C"": 0.03, ""class_weight"": {""0"": 1, ""1"": 3}, ""gamma"": 0.01}",platt,0.19650951992063131,0,5.0,5,30,0.18518518518518517,0.24,0.8148148148148148,0.76,0.5857932860144912,0.14397203593361985,0.8460016346195207,0.0741644293065043
svm_rbf,"{""C"": 0.3, ""class_weight"": {""0"": 1, ""1"": 2}, ""gamma"": 0.01}",platt,0.2311160932280729,0,5.166666666666667,4,31,0.14814814814814814,0.248,0.8518518518518519,0.752,0.6154519966746256,0.1195065691233403,0.8459371101647525,0.11046512598739731
svm_rbf,"{""C"": 1.0, ""class_weight"": {""0"": 1, ""1"": 5}, ""gamma"": 0.003}",platt,0.25738985977628914,0,5.166666666666667,5,31,0.18518518518518517,0.248,0.8148148148148148,0.752,0.6199178766790429,0.11493063071366627,0.8646276938959865,0.1319038931491047
svm_rbf,"{""C"": 1.0, ""class_weight"": {""0"": 1, ""1"": 8}, ""gamma"": 0.003}",platt,0.25738985977628914,0,5.166666666666667,5,31,0.18518518518518517,0.248,0.8148148148148148,0.752,0.6199178766790429,0.11493063071366627,0.8646276938959865,0.1319038931491047
svm_rbf,"{""C"": 1.0, ""class_weight"": {""0"": 1, ""1"": 12}, ""gamma"": 0.003}",platt,0.25738985977628914,0,5.166666666666667,5,31,0.18518518518518517,0.248,0.8148148148148148,0.752,0.6199178766790429,0.11493063071366627,0.8646276938959865,0.1319038931491047
svm_rbf,"{""C"": 1.0, ""class_weight"": {""0"": 1, ""1"": 15}, ""gamma"": 0.003}",platt,0.25738985977628914,0,5.166666666666667,5,31,0.18518518518518517,0.248,0.8148148148148148,0.752,0.6199178766790429,0.11493063071366627,0.8646276938959865,0.1319038931491047
svm_rbf,"{""C"": 1.0, ""class_weight"": {""0"": 1, ""1"": 20}, ""gamma"": 0.003}",platt,0.25738985977628914,0,5.166666666666667,5,31,0.18518518518518517,0.248,0.8148148148148148,0.752,0.6199178766790429,0.11493063071366627,0.8646276938959865,0.1319038931491047
svm_rbf,"{""C"": 1.0, ""class_weight"": {""0"": 1, ""1"": 30}, ""gamma"": 0.003}",platt,0.25738985977628914,0,5.166666666666667,5,31,0.18518518518518517,0.248,0.8148148148148148,0.752,0.6199178766790429,0.11493063071366627,0.8646276938959865,0.1319038931491047
svm_rbf,"{""C"": 0.03, ""class_weight"": {""0"": 1, ""1"": 2}, ""gamma"": ""scale""}",platt,0.20136224008839168,0,5.166666666666667,5,31,0.18518518518518517,0.248,0.8148148148148148,0.752,0.5837178578560261,0.14206212378665914,0.8315696649029981,0.1441665683684372
svm_rbf,"{""C"": 0.1, ""class_weight"": {""0"": 1, ""1"": 2}, ""gamma"": 0.03}",platt,0.24360236000582514,0,5.166666666666667,5,31,0.18518518518518517,0.248,0.8148148148148148,0.752,0.5820071081182193,0.1263892089625734,0.8333978577881017,0.09151519745078358
svm_rbf,"{""C"": 0.1, ""class_weight"": {""0"": 1, ""1"": 3}, ""gamma"": 0.003}",platt,0.19997801331955709,0,5.333333333333333,4,32,0.14814814814814814,0.256,0.8518518518518519,0.744,0.6178572917504177,0.14001075868462767,0.86017550651697,0.1526408957999896
svm_rbf,"{""C"": 0.03, ""class_weight"": {""0"": 1, ""1"": 3}, ""gamma"": 0.003}",platt,0.19307826611855358,0,5.333333333333333,4,32,0.14814814814814814,0.256,0.8518518518518519,0.744,0.6175581723042928,0.1456745535845278,0.86017550651697,0.014794214865721134
svm_rbf,"{""C"": 0.3, ""class_weight"": {""0"": 1, ""1"": 3}, ""gamma"": 0.003}",platt,0.23017462664834118,0,5.333333333333333,5,32,0.18518518518518517,0.256,0.8148148148148148,0.744,0.6178572917504177,0.11923956420082887,0.86017550651697,0.13604566737310353
svm_rbf,"{""C"": 0.03, ""class_weight"": {""0"": 1, ""1"": 2}, ""gamma"": 0.003}",platt,0.19349139253815195,0,5.333333333333333,5,32,0.18518518518518517,0.256,0.8148148148148148,0.744,0.5887865478143256,0.14509307466157847,0.8467114036219727,0.04389031246870511
svm_rbf,"{""C"": 0.1, ""class_weight"": {""0"": 1, ""1"": 2}, ""gamma"": ""scale""}",platt,0.2417185110631017,0,5.333333333333333,5,32,0.18518518518518517,0.256,0.8148148148148148,0.744,0.586579810717979,0.12400910438337627,0.8351830343700262,0.10649053862243042
svm_rbf,"{""C"": 0.1, ""class_weight"": {""0"": 1, ""1"": 1}, ""gamma"": ""scale""}",platt,0.2033822305873451,0,5.333333333333333,5,32,0.18518518518518517,0.256,0.8148148148148148,0.744,0.5806302972424976,0.13887532866224894,0.8288166214995484,0.13354473723636356
svm_rbf,"{""C"": 0.1, ""class_weight"": {""0"": 1, ""1"": 1}, ""gamma"": 0.03}",platt,0.20168852692402908,0,5.333333333333333,5,32,0.18518518518518517,0.256,0.8148148148148148,0.744,0.561798698988805,0.14053926348465548,0.8199122467415151,0.13994951572930261
svm_rbf,"{""C"": 3.0, ""class_weight"": {""0"": 1, ""1"": 2}, ""gamma"": 0.003}",isotonic,0.27022669769947366,0,5.333333333333333,5,32,0.18518518518518517,0.256,0.8148148148148148,0.744,0.5383926781958323,0.14621112196995653,0.8478835978835978,0.1438891538053713
svm_rbf,"{""C"": 0.1, ""class_weight"": {""0"": 1, ""1"": 3}, ""gamma"": 0.01}",isotonic,0.2857142857142857,0,5.333333333333333,5,32,0.18518518518518517,0.256,0.8148148148148148,0.744,0.5210309202338188,0.14631006478318176,0.847335140018067,0.14661586374036015
svm_rbf,"{""C"": 1.0, ""class_weight"": {""0"": 1, ""1"": 1}, ""gamma"": 0.003}",platt,0.21909126920067934,0,5.5,5,33,0.18518518518518517,0.264,0.8148148148148148,0.736,0.608073770500671,0.10951880256383038,0.8571213489912677,0.11257529188117797
svm_rbf,"{""C"": 0.1, ""class_weight"": {""0"": 1, ""1"": 1}, ""gamma"": 0.003}",platt,0.19508223504248978,0,5.5,5,33,0.18518518518518517,0.264,0.8148148148148148,0.736,0.6019660048254819,0.1426948642251842,0.8635307781649244,0.14048951549063537
svm_rbf,"{""C"": 1.0, ""class_weight"": {""0"": 1, ""1"": 1}, ""gamma"": 0.01}",platt,0.22670332955776448,0,5.5,5,33,0.18518518518518517,0.264,0.8148148148148148,0.736,0.5891873982800742,0.12375035222979232,0.8377640125607605,0.1422633753595922
svm_rbf,"{""C"": 0.3, ""class_weight"": {""0"": 1, ""1"": 1}, ""gamma"": 0.01}",platt,0.22150095939888315,0,5.5,5,33,0.18518518518518517,0.264,0.8148148148148148,0.736,0.5889154599938914,0.11505221425586976,0.8484105475975395,0.08843566169621069
svm_rbf,"{""C"": 0.1, ""class_weight"": {""0"": 1, ""1"": 2}, ""gamma"": 0.01}",platt,0.22292573925421832,0,5.5,5,33,0.18518518518518517,0.264,0.8148148148148148,0.736,0.5811076047466657,0.12195612753577702,0.8290317030154428,0.10597175015397338
svm_rbf,"{""C"": 0.03, ""class_weight"": {""0"": 1, ""1"": 1}, ""gamma"": ""scale""}",platt,0.19343580359681256,0,5.5,5,33,0.18518518518518517,0.264,0.8148148148148148,0.736,0.5806302972424976,0.14554225658126377,0.8288166214995484,0.015058862476611326
svm_rbf,"{""C"": 0.3, ""class_weight"": {""0"": 1, ""1"": 3}, ""gamma"": 0.01}",isotonic,0.375,0,5.5,5,33,0.18518518518518517,0.264,0.8148148148148148,0.736,0.5283284991980645,0.13226587712207757,0.8406783671011313,0.10531520329616256
svm_rbf,"{""C"": 0.1, ""class_weight"": {""0"": 1, ""1"": 5}, ""gamma"": 0.01}",isotonic,0.375,0,5.5,5,33,0.18518518518518517,0.264,0.8148148148148148,0.736,0.5090018202789596,0.1300109205979371,0.8366778509054932,0.10377058425721623
svm_rbf,"{""C"": 0.1, ""class_weight"": {""0"": 1, ""1"": 8}, ""gamma"": 0.01}",isotonic,0.375,0,5.5,5,33,0.18518518518518517,0.264,0.8148148148148148,0.736,0.5090018202789596,0.1300109205979371,0.8366778509054932,0.10377058425721623
svm_rbf,"{""C"": 0.1, ""class_weight"": {""0"": 1, ""1"": 12}, ""gamma"": 0.01}",isotonic,0.375,0,5.5,5,33,0.18518518518518517,0.264,0.8148148148148148,0.736,0.5090018202789596,0.1300109205979371,0.8366778509054932,0.10377058425721623
svm_rbf,"{""C"": 0.1, ""class_weight"": {""0"": 1, ""1"": 15}, ""gamma"": 0.01}",isotonic,0.375,0,5.5,5,33,0.18518518518518517,0.264,0.8148148148148148,0.736,0.5090018202789596,0.1300109205979371,0.8366778509054932,0.10377058425721623
svm_rbf,"{""C"": 0.1, ""class_weight"": {""0"": 1, ""1"": 20}, ""gamma"": 0.01}",isotonic,0.375,0,5.5,5,33,0.18518518518518517,0.264,0.8148148148148148,0.736,0.5090018202789596,0.1300109205979371,0.8366778509054932,0.10377058425721623
svm_rbf,"{""C"": 0.1, ""class_weight"": {""0"": 1, ""1"": 30}, ""gamma"": 0.01}",isotonic,0.375,0,5.5,5,33,0.18518518518518517,0.264,0.8148148148148148,0.736,0.5090018202789596,0.1300109205979371,0.8366778509054932,0.10377058425721623
