model,params,best_calibrator,threshold,constraint_feasible,constraint_violation,fn_inner_oof,fp_inner_oof,fnr_inner_oof,fpr_inner_oof,sens_inner_oof,spec_inner_oof,pr_auc_mean,brier_mean,roc_auc_mean,ece_mean
catboost,"{""class_weights"": [1, 1], ""depth"": 6, ""learning_rate"": 0.03, ""n_estimators"": 300}",platt,0.21075049114422637,0,5.0,5,14,0.17857142857142858,0.112,0.8214285714285714,0.888,0.7322775617628557,0.12483959016339786,0.8655181313717898,0.16442424766522626
catboost,"{""class_weights"": [1, 1], ""depth"": 6, ""learning_rate"": 0.03, ""n_estimators"": 500}",platt,0.2042608007180899,0,5.0,5,16,0.17857142857142858,0.128,0.8214285714285714,0.872,0.71054308345975,0.12502590781124726,0.8580634060308857,0.16541123077363465
catboost,"{""class_weights"": [1, 1], ""depth"": 4, ""learning_rate"": 0.03, ""n_estimators"": 300}",platt,0.1964379408212238,0,5.0,5,17,0.17857142857142858,0.136,0.8214285714285714,0.864,0.7315086875638546,0.12839440551950462,0.8681636340172926,0.15294418796599488
catboost,"{""class_weights"": [1, 1], ""depth"": 3, ""learning_rate"": 0.03, ""n_estimators"": 500}",platt,0.18940104805148902,0,5.0,5,17,0.17857142857142858,0.136,0.8214285714285714,0.864,0.6886327833386656,0.12827478099991968,0.8527724007398806,0.1587023107396166
catboost,"{""class_weights"": [1, 1], ""depth"": 6, ""learning_rate"": 0.03, ""n_estimators"": 800}",platt,0.20059279170229083,0,5.0,5,18,0.17857142857142858,0.144,0.8214285714285714,0.856,0.6985391730237452,0.127126220818087,0.8409773304082248,0.17131614393961925
catboost,"{""class_weights"": [1, 1], ""depth"": 3, ""learning_rate"": 0.06, ""n_estimators"": 300}",platt,0.1853637268453838,0,5.0,5,18,0.17857142857142858,0.144,0.8214285714285714,0.856,0.6644562043977249,0.12860931687604618,0.8469436916591387,0.15641997767120266
catboost,"{""class_weights"": [1, 1], ""depth"": 6, ""learning_rate"": 0.06, ""n_estimators"": 300}",platt,0.19210432692484605,0,5.0,5,19,0.17857142857142858,0.152,0.8214285714285714,0.848,0.713283363560942,0.1306811648988677,0.8525659224846217,0.15401424220551177
catboost,"{""class_weights"": [1, 1], ""depth"": 8, ""learning_rate"": 0.03, ""n_estimators"": 500}",platt,0.19909070265005707,0,5.0,5,19,0.17857142857142858,0.152,0.8214285714285714,0.848,0.6929517576739799,0.12831963363411406,0.8398890179377984,0.15436328544127595
catboost,"{""class_weights"": [1, 1], ""depth"": 3, ""learning_rate"": 0.03, ""n_estimators"": 800}",platt,0.18203332406327352,0,5.0,5,19,0.17857142857142858,0.152,0.8214285714285714,0.848,0.691642418864641,0.12821761475046925,0.8491074117090379,0.15343369601626475
catboost,"{""class_weights"": [1, 1], ""depth"": 3, ""learning_rate"": 0.06, ""n_estimators"": 800}",platt,0.18057591146860016,0,5.0,5,19,0.17857142857142858,0.152,0.8214285714285714,0.848,0.659685927117869,0.12866188864371136,0.8439540585882049,0.15253443432745004
