model,params,best_calibrator,threshold,constraint_feasible,constraint_violation,fn_inner_oof,fp_inner_oof,fnr_inner_oof,fpr_inner_oof,sens_inner_oof,spec_inner_oof,pr_auc_mean,brier_mean,roc_auc_mean,ece_mean
mlp,"{""dropout"": 0.2, ""early_stopping"": true, ""layers"": [32, 16], ""weight_decay"": 0.01}",platt,0.19211391971827507,0,8.0,8,45,0.2857142857142857,0.36,0.7142857142857143,0.64,0.46391000357667017,0.14016915171961744,0.7255387791973158,0.08960034009129549
mlp,"{""dropout"": 0.2, ""early_stopping"": true, ""layers"": [32, 16], ""weight_decay"": 0.001}",platt,0.1921128638358509,0,8.0,8,45,0.2857142857142857,0.36,0.7142857142857143,0.64,0.462640162306829,0.14025078606770922,0.7247257710672345,0.08973558613556287
mlp,"{""dropout"": 0.2, ""early_stopping"": true, ""layers"": [32, 16], ""weight_decay"": 0.0001}",platt,0.19211159043900178,0,8.0,8,45,0.2857142857142857,0.36,0.7142857142857143,0.64,0.4622510050336137,0.14026590829612465,0.7247257710672345,0.08991176262629576
mlp,"{""dropout"": 0.2, ""early_stopping"": true, ""layers"": [32], ""weight_decay"": 0.01}",platt,0.19112779748704678,0,8.166666666666666,8,49,0.2857142857142857,0.392,0.7142857142857143,0.608,0.5110211531006165,0.1425782460886019,0.7214307222437304,0.0728268015846874
mlp,"{""dropout"": 0.2, ""early_stopping"": true, ""layers"": [32], ""weight_decay"": 0.001}",platt,0.19112121258423748,0,8.166666666666666,8,49,0.2857142857142857,0.392,0.7142857142857143,0.608,0.507500573263261,0.1417071798893263,0.720548888028563,0.05487520922297184
mlp,"{""dropout"": 0.2, ""early_stopping"": true, ""layers"": [32], ""weight_decay"": 0.0001}",platt,0.191121549447281,0,8.166666666666666,8,49,0.2857142857142857,0.392,0.7142857142857143,0.608,0.5066204205757884,0.14170813204736724,0.7196670538133952,0.054882778582994396
mlp,"{""dropout"": 0.2, ""early_stopping"": true, ""layers"": [8], ""weight_decay"": 0.0001}",platt,0.19149692211325947,0,9.5,9,57,0.32142857142857145,0.456,0.6785714285714286,0.544,0.37555149076120703,0.14522714822322874,0.6585968081903041,0.06526415142991658
mlp,"{""dropout"": 0.2, ""early_stopping"": true, ""layers"": [16], ""weight_decay"": 0.01}",platt,0.19109910412281247,0,9.666666666666666,9,58,0.32142857142857145,0.464,0.6785714285714286,0.536,0.4125013009969387,0.14693388881401,0.6884974405299609,0.09076263395405963
mlp,"{""dropout"": 0.2, ""early_stopping"": true, ""layers"": [16], ""weight_decay"": 0.001}",platt,0.19109818185917707,0,9.666666666666666,9,58,0.32142857142857145,0.464,0.6785714285714286,0.536,0.41189612065319636,0.1469342128769073,0.6876156063147932,0.09077014059615557
mlp,"{""dropout"": 0.2, ""early_stopping"": true, ""layers"": [8], ""weight_decay"": 0.01}",platt,0.1941374370913051,0,10.0,10,44,0.35714285714285715,0.352,0.6428571428571429,0.648,0.37609421268592796,0.14515170729980048,0.6585968081903041,0.06773583148785153
mlp,"{""dropout"": 0.2, ""early_stopping"": true, ""layers"": [8], ""weight_decay"": 0.001}",platt,0.19413762614869964,0,10.0,10,44,0.35714285714285715,0.352,0.6428571428571429,0.648,0.37609421268592796,0.14516432704447182,0.6585968081903041,0.06514043485564151
mlp,"{""dropout"": 0.2, ""early_stopping"": true, ""layers"": [16], ""weight_decay"": 0.0001}",platt,0.18677532807252806,0,10.0,10,57,0.35714285714285715,0.456,0.6428571428571429,0.544,0.2936185621904526,0.14791611945384378,0.5967866821525358,0.0473584399019927
mlp,"{""dropout"": 0.2, ""early_stopping"": true, ""layers"": [16, 8], ""weight_decay"": 0.01}",isotonic,0.19230769230769232,0,10.0,10,59,0.35714285714285715,0.472,0.6428571428571429,0.528,0.32268860152583534,0.16597432058707226,0.6102292768959435,0.09792991461733003
mlp,"{""dropout"": 0.2, ""early_stopping"": true, ""layers"": [16, 8], ""weight_decay"": 0.0001}",isotonic,0.19230769230769232,0,10.0,10,59,0.35714285714285715,0.472,0.6428571428571429,0.528,0.32268860152583534,0.16597907985080587,0.6102292768959435,0.09794160426039844
mlp,"{""dropout"": 0.2, ""early_stopping"": true, ""layers"": [16, 8], ""weight_decay"": 0.001}",isotonic,0.19230769230769232,0,10.0,10,59,0.35714285714285715,0.472,0.6428571428571429,0.528,0.32268860152583534,0.16600119399122312,0.6102292768959435,0.09796729559497101
