outer_fold,best_params,best_calibrator,decision_threshold,constraint_feasible,constraint_violation,inner_fn,inner_fp,inner_fnr,inner_fpr
1,"{""C"": 1.0, ""gamma"": 0.003, ""class_weight"": {""0"": 1, ""1"": 3}}",platt,0.2648454363056501,0,4.5,4,27,0.14814814814814814,0.216
2,"{""C"": 0.1, ""gamma"": 0.003, ""class_weight"": {""0"": 1, ""1"": 2}}",platt,0.20796485748602553,0,5.0,5,27,0.17857142857142858,0.216
3,"{""C"": 0.03, ""gamma"": 0.003, ""class_weight"": {""0"": 1, ""1"": 1}}",isotonic,0.1315518429329843,0,5.0,5,29,0.18518518518518517,0.23015873015873015
4,"{""C"": 0.3, ""gamma"": 0.003, ""class_weight"": {""0"": 1, ""1"": 2}}",isotonic,0.17487748401880274,0,4.833333333333333,4,29,0.14814814814814814,0.23015873015873015
5,"{""C"": 1.0, ""gamma"": 0.003, ""class_weight"": {""0"": 1, ""1"": 3}}",platt,0.2449907762917054,0,6.0,6,24,0.2222222222222222,0.19047619047619047
