model,n_total,n_pos,n_neg,fn_at_0_5,fp_at_0_5,fnr_at_0_5,fpr_at_0_5,feasible_both_lt_5pct,closest_t,closest_fn,closest_fp,closest_fnr,closest_fpr
svm_rbf,191,34,157,19,12,0.5588235294117647,0.07643312101910828,0,0.2,10,46,0.29411764705882354,0.2929936305732484
mlp,191,34,157,27,6,0.7941176470588235,0.03821656050955414,0,0.1400559415681296,10,55,0.29411764705882354,0.3503184713375796
