k_star,model,stage,params,roc_auc_mean,pr_auc_mean,brier_mean,sens_mean,spec_mean,roc_auc_std,pr_auc_std,brier_std,sens_std,spec_std,calibrator
10,svm_rbf,param_search,"{""C"": 0.1, ""gamma"": ""scale"", ""class_weight"": ""balanced""}",0.4824708564545963,0.18993166107849793,0.24866058111397296,0.5277777777777778,0.5495726495726495,0.12188010048810255,0.04282341492339299,0.0064729663163019735,0.1712337223046938,0.15675782222723397,
10,svm_rbf,param_search,"{""C"": 0.1, ""gamma"": ""scale"", ""class_weight"": {""0"": 1, ""1"": 2}}",0.45756441691401045,0.1833202435723608,0.24320305773982306,0.5,0.5594017094017094,0.11981499579944929,0.04464868788340991,0.015332335837586305,0.408248290463863,0.17111209303235259,
10,svm_rbf,param_search,"{""C"": 0.1, ""gamma"": ""scale"", ""class_weight"": {""0"": 1, ""1"": 3}}",0.3782638620036994,0.15255682628889103,0.25919734805503575,0.8333333333333334,0.4106837606837607,0.07353365576585023,0.01707742774799199,0.011346531397926901,0.23570226039551584,0.16963282121011927,
10,svm_rbf,param_search,"{""C"": 0.1, ""gamma"": ""scale"", ""class_weight"": {""0"": 1, ""1"": 5}}",0.39873962231685806,0.16217673212166767,0.2727347433199349,0.8888888888888888,0.32735042735042735,0.06297230509824711,0.01956681992180386,0.003540790560638873,0.15713484026367724,0.20412503992269587,
10,svm_rbf,param_search,"{""C"": 0.1, ""gamma"": ""scale"", ""class_weight"": {""0"": 1, ""1"": 8}}",0.4260764829870521,0.17112090158555038,0.2783610204622557,0.8888888888888888,0.32735042735042735,0.03187910048171016,0.009814331262070805,0.0024656510575508926,0.15713484026367724,0.20412503992269587,
10,svm_rbf,param_search,"{""C"": 0.1, ""gamma"": ""scale"", ""class_weight"": {""0"": 1, ""1"": 12}}",0.4269583172022196,0.1801405319819924,0.2811150608895831,0.8888888888888888,0.35512820512820514,0.031159410825157944,0.011463765755786092,0.004595087208894762,0.15713484026367724,0.18515767930724109,
10,svm_rbf,param_search,"{""C"": 0.1, ""gamma"": 0.1, ""class_weight"": ""balanced""}",0.38654450036563853,0.16057162382815127,0.25605933770623146,0.8333333333333334,0.23846153846153847,0.05633371279218524,0.019801143574250796,0.0037716786734591588,0.23570226039551584,0.2696333985715541,
10,svm_rbf,param_search,"{""C"": 0.1, ""gamma"": 0.1, ""class_weight"": {""0"": 1, ""1"": 2}}",0.47776057125650623,0.2265095036040481,0.24321043940994536,0.3333333333333333,0.5260683760683761,0.11013502670153154,0.061189404693595704,0.018645884118149884,0.23570226039551584,0.12434502227370688,
10,svm_rbf,param_search,"{""C"": 0.1, ""gamma"": 0.1, ""class_weight"": {""0"": 1, ""1"": 3}}",0.4276035617499032,0.2087933973461037,0.2587011935084231,0.8333333333333334,0.35170940170940174,0.03666719119898921,0.06190155294313829,0.004229269990267943,0.23570226039551584,0.18480027936588014,
10,svm_rbf,param_search,"{""C"": 0.1, ""gamma"": 0.1, ""class_weight"": {""0"": 1, ""1"": 5}}",0.4074289155589968,0.1900989366504862,0.27236208023512376,0.8888888888888888,0.26837606837606837,0.032245762277324966,0.041572995918210315,0.004652226034721055,0.15713484026367724,0.19290884198601527,
