k_star,model,test_roc_auc,test_pr_auc,test_brier,test_sens,test_spec
10,svm_rbf,0.44419642857142855,0.18937623860577468,0.2856634314013431,1.0,0.25
10,catboost,0.5424107142857142,0.22937701396348015,0.22243922014345477,0.0,1.0
10,mlp,0.5959821428571428,0.24551313114609405,0.2559528814874037,0.0,0.75
20,svm_rbf,0.65625,0.4323194470253293,0.2751855806014554,0.0,0.75
20,catboost,0.7589285714285714,0.5752419993799305,0.1945390394884935,0.0,0.5
20,mlp,0.6964285714285714,0.4373325087610802,0.21853629401099156,0.0,0.5
30,svm_rbf,0.71875,0.6683006535947711,0.17863344589811425,0.0,0.75
30,catboost,0.7857142857142857,0.5574412146992792,0.1392061022787179,0.0,1.0
30,mlp,0.6696428571428571,0.4524238524238524,0.13862259593269602,0.0,0.75
