p_t,NB_model_all,NB_model_defined,NB_treat_all,NB_treat_none
0.1,0.8022105875509017,0.829059829059829,0.8022105875509017,0.0
0.11,0.7999882346020355,0.8271391529818496,0.7999882346020355,0.0
0.12,0.797715373631604,0.8251748251748252,0.797715373631604,0.0
0.13,0.7953902629836914,0.8231653404067197,0.7953902629836914,0.0
0.13999999999999999,0.7930110799951298,0.8211091234347048,0.7930110799951298,0.0
0.14999999999999997,0.7905759162303665,0.8190045248868778,0.7905759162303665,0.0
0.15999999999999998,0.7880827723759661,0.8168498168498168,0.7880827723759661,0.0
0.16999999999999998,0.785529552766038,0.8146431881371641,0.785529552766038,0.0
0.17999999999999997,0.7829140595070873,0.8123827392120075,0.7829140595070873,0.0
0.18999999999999995,0.7802339861676686,0.8100664767331434,0.7802339861676686,0.0
0.19999999999999996,0.7774869109947644,0.8076923076923077,0.7774869109947644,0.0
0.20999999999999996,0.7746702896149513,0.8052580331061344,0.7746702896149513,0.0
0.21999999999999995,0.7717814471741173,0.8027613412228797,0.7717814471741173,0.0
0.22999999999999995,0.7688175698646903,0.8001998001998002,0.7688175698646903,0.0
0.23999999999999994,0.7657756957839625,0.7975708502024291,0.7657756957839625,0.0
0.24999999999999992,0.7626527050610821,0.7948717948717949,0.7626527050610821,0.0
0.2599999999999999,0.7594453091835291,0.7920997920997921,0.7594453091835291,0.0
0.2699999999999999,0.7561500394463172,0.7892518440463646,0.7561500394463172,0.0
0.2799999999999999,0.7527632344386271,0.7863247863247863,0.7527632344386271,0.0
0.2899999999999999,0.749281026472974,0.7833152762730228,0.749281026472974,0.0
0.29999999999999993,0.7456993268511594,0.7802197802197802,0.7456993268511594,0.0
0.30999999999999994,0.7420138098490022,0.7770345596432553,0.7420138098490022,0.0
0.3199999999999999,0.7382198952879582,0.7737556561085973,0.7382198952879582,0.0
0.32999999999999985,0.7343127295459875,0.7703788748564868,0.7343127295459875,0.0
0.33999999999999986,0.7302871648421387,0.7668997668997669,0.7302871648421387,0.0
0.34999999999999987,0.7261377366089409,0.7633136094674556,0.7261377366089409,0.0
0.3599999999999999,0.7218586387434556,0.7596153846153847,0.7218586387434556,0.0
0.3699999999999999,0.7174436965012883,0.7557997557997558,0.7174436965012883,0.0
0.3799999999999999,0.7128863367674381,0.7518610421836228,0.7128863367674381,0.0
0.3899999999999999,0.7081795554029698,0.7477931904161412,0.7081795554029698,0.0
0.3999999999999998,0.7033158813263527,0.7435897435897436,0.7033158813263527,0.0
0.4099999999999998,0.6982873369420536,0.7392438070404173,0.6982873369420536,0.0
0.4199999999999998,0.6930853944755373,0.7347480106100797,0.6930853944755373,0.0
