model,k,aggregation,brier_mean,brier_ci,ece_mean,ece_ci,coverage_defined,sensitivity,specificity,ppv,npv,f1,pt_range_NB_better,features,model_version,notes
xgb_sigmoid,5 (mode per-outer; 2-5),"patient-level (mean over outer, mixed k)",0.12288146378740586,[0.126; 0.147] pooled calibrated (p_cal),0.11373266999910006,[0.027; 0.054] pooled calibrated (p_cal),0.900523560209424,0.0,1.0,,0.13372093023255813,0.0,0.49-0.86,relative risk; ЭХО ЗС перед ТП; ЛПНП перед ТП; Пол; Диагноз; ЭХО ЛП перед ТП; Мочевая кислота перед ТП; ОТТ перед ТП; САД перед ТП; стадия ХСН перед ТП,model_grids.py XGB sigmoid; params per-outer from inner GS,patient-level preds averaged across k; CI from calibrated fold preds (p_cal)
mlp,6,outer-test per-fold (not patient-level),0.14202128604151149,,0.16221976147687217,,,,,,,,,not recorded; best per-inner fold,model_grids.py MLP,no patient-level preds; coverage/DCA NA
logreg,3,outer-test single-fold (not patient-level),0.1140483821876378,,0.177804153169848,,,,,,,,,not recorded; best per-inner fold,model_grids.py LogReg,no patient-level preds; coverage/DCA NA
