fold,brier,brier_ci_2_5,brier_ci_97_5,ece,ece_ci_2_5,ece_ci_97_5,n
1,0.12787850740300646,0.10851661548416627,0.1496945498505033,0.09553763586838894,0.0606413593762595,0.12280658310105354,450
2,0.1812498814921482,0.15545950350184023,0.2113910596273814,0.10151367115956628,0.08285595564720848,0.1538020953424633,420
3,0.11796177531743818,0.09070335608800813,0.14510645481780488,0.11766699242969246,0.09245540308921894,0.15841216427668453,250
4,0.11609326113880371,0.09455208830601919,0.1384191604571977,0.07220756414233032,0.05520700775043044,0.1152866349594898,330
5,0.12760921153452068,0.10685076973488536,0.14815345200905322,0.04254837589681292,0.03643073102213142,0.08454339450202022,460
