bin,mean_p,mean_y,n_bin,weight,abs_diff,ece_term
0,0.5750010001667125,0.5510204081632653,49,0.10652173913043478,0.023980592003447265,0.0025544543655845998
1,0.7561801901424763,0.6976744186046512,43,0.09347826086956522,0.0585057715378251,0.005469017774187999
2,0.7971999558321083,0.851063829787234,47,0.10217391304347827,0.05386387395512571,0.005503482773675888
3,0.8110774358139177,0.8888888888888888,45,0.09782608695652174,0.07781145307497117,0.0076119899747254405
4,0.8201530587750626,0.8695652173913043,46,0.1,0.04941215861624171,0.004941215861624171
5,0.8304274745717474,0.8163265306122449,49,0.10652173913043478,0.014100943959502454,0.0015020570739470004
6,0.8429887364139717,0.8837209302325582,43,0.09347826086956522,0.040732193818586504,0.0038075746395635213
7,0.8613991046293951,0.8367346938775511,49,0.10652173913043478,0.024664410751844,0.0026272959279138174
8,0.8974172232458495,0.9777777777777777,45,0.09782608695652174,0.08036055453192825,0.007861358595514721
9,0.9160947113326102,0.9090909090909091,44,0.09565217391304348,0.0070038022417011625,0.0006699289100757634
