bin,mean_p,mean_y,n_bin,weight,abs_diff,ece_term
0,0.26232156755478725,0.68,25,0.1,0.4176784324452128,0.041767843244521284
1,0.6849152666505745,0.84,25,0.1,0.15508473334942552,0.015508473334942553
2,0.766685578815288,0.84,25,0.1,0.07331442118471199,0.007331442118471199
3,0.8020775944373598,0.96,25,0.1,0.15792240556264014,0.015792240556264017
4,0.8230734486294194,0.8846153846153846,26,0.104,0.061541935985965135,0.006400361342540374
5,0.8354041904308249,0.9166666666666666,24,0.096,0.08126247623584171,0.007801197718640804
6,0.850262748397144,0.8076923076923077,26,0.104,0.04257044070483629,0.004427325833302974
7,0.8657297850638126,1.0,24,0.096,0.1342702149361874,0.01288994063387399
8,0.8893032636724006,0.8846153846153846,26,0.104,0.0046878790570160644,0.00048753942192967067
9,0.9452017893207749,1.0,24,0.096,0.05479821067922508,0.0052606282252056075
