model,calibration,roc_auc_raw,brier_raw,ece_raw,roc_auc_cal,brier_cal,ece_cal,platt_brier,isotonic_brier
svm_rbf,platt,0.39780816785312856,0.14907251677774222,0.015281661381382343,0.6021918321468716,0.14434108766462536,0.004822834172845324,0.14434108766462536,0.14564493098524514
catboost,isotonic,0.8658673660547023,0.10565047370180376,0.044328532543047805,0.8892843761708505,0.08902393418100225,6.393954592082054e-17,0.09968138167444165,0.08902393418100225
mlp,isotonic,0.4885724990633196,0.8219895287958116,0.8219895287958116,0.5,0.14632274334585124,0.0,0.14632274334947146,0.14632274334585124
