meta_model,class_weight_spec,meta_c,rf_n_estimators,rf_max_depth,rf_min_samples_leaf,n_splits,n_repeats,target_pos_ratio,use_raw_features,threshold,tp,fp,fn,tn,sens,spec,cost,constraint_violation,preserve_fn_excess,meets_max_fp,meets_target_fn,meets_preserve_fn_max,meets_both
logreg,1:12,0.2,0,,0,5,8,0.45,True,0.31603060849697306,29,48,5,109,0.8529411764705882,0.6942675159235668,73.0,5.857142857142857,0,False,False,True,False
logreg,1:3,0.1,0,,0,5,8,0.45,True,0.30171740946864267,29,48,5,109,0.8529411764705882,0.6942675159235668,73.0,5.857142857142857,0,False,False,True,False
logreg,1:8,0.2,0,,0,5,8,0.45,True,0.29309628510003516,29,48,5,109,0.8529411764705882,0.6942675159235668,73.0,5.857142857142857,0,False,False,True,False
logreg,1:5,0.2,0,,0,5,8,0.45,True,0.2656673537370077,29,48,5,109,0.8529411764705882,0.6942675159235668,73.0,5.857142857142857,0,False,False,True,False
logreg,balanced,0.2,0,,0,5,8,0.45,True,0.17541889372029973,29,48,5,109,0.8529411764705882,0.6942675159235668,73.0,5.857142857142857,0,False,False,True,False
logreg,1:12,0.1,0,,0,5,8,0.45,True,0.4603435876344618,28,48,6,109,0.8235294117647058,0.6942675159235668,78.0,5.857142857142857,0,False,False,True,False
logreg,1:8,0.1,0,,0,5,8,0.45,True,0.4139330874975654,28,48,6,109,0.8235294117647058,0.6942675159235668,78.0,5.857142857142857,0,False,False,True,False
rf,balanced,1.0,500,3.0,4,5,8,0.45,True,0.2733976440807258,28,48,6,109,0.8235294117647058,0.6942675159235668,78.0,5.857142857142857,0,False,False,True,False
logreg,1:2,0.1,0,,0,5,8,0.45,True,0.27201463212237,28,48,6,109,0.8235294117647058,0.6942675159235668,78.0,5.857142857142857,0,False,False,True,False
logreg,balanced,0.1,0,,0,5,8,0.45,True,0.23368397065790542,28,48,6,109,0.8235294117647058,0.6942675159235668,78.0,5.857142857142857,0,False,False,True,False
rf,1:5,1.0,200,,2,5,8,0.45,True,0.20190136201606443,28,48,6,109,0.8235294117647058,0.6942675159235668,78.0,5.857142857142857,0,False,False,True,False
rf,balanced,1.0,200,,2,5,8,0.45,True,0.18715890957303863,28,48,6,109,0.8235294117647058,0.6942675159235668,78.0,5.857142857142857,0,False,False,True,False
rf,1:3,1.0,200,8.0,1,5,8,0.45,True,0.18481089399216413,28,48,6,109,0.8235294117647058,0.6942675159235668,78.0,5.857142857142857,0,False,False,True,False
rf,1:5,1.0,500,,1,5,8,0.45,True,0.166,28,48,6,109,0.8235294117647058,0.6942675159235668,78.0,5.857142857142857,0,False,False,True,False
rf,balanced,1.0,200,3.0,1,5,8,0.45,True,0.2639706211591999,28,49,6,108,0.8235294117647058,0.6878980891719745,79.0,6.0,0,False,False,True,False
rf,1:5,1.0,500,,2,5,8,0.45,True,0.1976740154958384,28,49,6,108,0.8235294117647058,0.6878980891719745,79.0,6.0,0,False,False,True,False
rf,1:3,1.0,200,8.0,2,5,8,0.45,True,0.19415402836981854,28,49,6,108,0.8235294117647058,0.6878980891719745,79.0,6.0,0,False,False,True,False
