outer_fold,best_params,best_calibrator,decision_threshold,constraint_feasible,constraint_violation,roc_auc,pr_auc,brier,ece,sens,spec,fnr,fpr,tp,fp,tn,fn
1,"{""C"": 1.0, ""gamma"": 0.003, ""class_weight"": {""0"": 1, ""1"": 3}}",platt,0.2648454363056501,False,4.5,0.8214285714285714,0.7255353754404987,0.1175850241387338,0.14563065476773368,0.7142857142857143,0.75,0.2857142857142857,0.25,5,8,24,2
2,"{""C"": 0.1, ""gamma"": 0.003, ""class_weight"": {""0"": 1, ""1"": 2}}",platt,0.20796485748602553,False,5.0,0.8802083333333333,0.5618686868686869,0.10187363812263409,0.12256803495664159,0.8333333333333334,0.6875,0.16666666666666666,0.3125,5,10,22,1
3,"{""C"": 0.03, ""gamma"": 0.003, ""class_weight"": {""0"": 1, ""1"": 1}}",isotonic,0.1315518429329843,False,5.0,0.8594470046082949,0.5899041434755721,0.11212853939093224,0.07874523748762718,0.8571428571428571,0.7096774193548387,0.14285714285714285,0.2903225806451613,6,9,22,1
4,"{""C"": 0.3, ""gamma"": 0.003, ""class_weight"": {""0"": 1, ""1"": 2}}",isotonic,0.17487748401880274,False,4.833333333333333,0.8732718894009217,0.5380952380952381,0.10752974338272937,0.06839161029664463,1.0,0.5806451612903226,0.0,0.41935483870967744,7,13,18,0
5,"{""C"": 1.0, ""gamma"": 0.003, ""class_weight"": {""0"": 1, ""1"": 3}}",platt,0.2449907762917054,False,6.0,0.9170506912442395,0.8476190476190475,0.08625441506585725,0.08038273233362198,0.7142857142857143,0.9354838709677419,0.2857142857142857,0.06451612903225806,5,2,29,2
--
