scope,metric,mean,ci_2_5,ci_97_5,n
pooled_test,brier,0.1362155685178531,0.12610625018188018,0.14693124355807002,1910
pooled_test,ece,0.03260015549718218,0.026632272435187097,0.05424380737118458,1910
mean_over_folds,brier,0.13415852737718345,,,1910
mean_over_folds,ece,0.08589484789935818,,,1910
