meta_model,class_weight_spec,meta_c,rf_n_estimators,rf_max_depth,rf_min_samples_leaf,cb_iterations,cb_depth,cb_learning_rate,n_splits,n_repeats,target_pos_ratio,use_raw_features,threshold,tp,fp,fn,tn,sens,spec,cost,constraint_violation,preserve_fn_excess,meets_max_fp,meets_target_fn,meets_preserve_fn_max,meets_both
logreg,balanced,0.05,0,,0,0,0,0.0,5,5,0.25,True,0.27257888334541897,28,43,6,114,0.8235294117647058,0.7261146496815286,73.0,5.142857142857143,0,False,False,True,False
catboost,1:8,0.0,0,,0,200,5,0.05,5,5,0.35,True,0.24743239464374733,28,43,6,114,0.8235294117647058,0.7261146496815286,73.0,5.142857142857143,0,False,False,True,False
catboost,balanced,0.0,0,,0,200,5,0.05,5,5,0.35,True,0.15389598821076203,28,43,6,114,0.8235294117647058,0.7261146496815286,73.0,5.142857142857143,0,False,False,True,False
catboost,balanced,0.0,0,,0,400,5,0.03,5,5,0.35,True,0.13009002264808822,28,43,6,114,0.8235294117647058,0.7261146496815286,73.0,5.142857142857143,0,False,False,True,False
catboost,1:3,0.0,0,,0,200,3,0.05,5,5,0.25,True,0.1213853694660163,28,43,6,114,0.8235294117647058,0.7261146496815286,73.0,5.142857142857143,0,False,False,True,False
catboost,1:3,0.0,0,,0,200,4,0.05,5,5,0.25,True,0.08638479309598045,28,43,6,114,0.8235294117647058,0.7261146496815286,73.0,5.142857142857143,0,False,False,True,False
logreg,1:8,0.05,0,,0,0,0,0.0,5,5,0.45,True,0.49821089786070283,28,44,6,113,0.8235294117647058,0.7197452229299363,74.0,5.285714285714286,0,False,False,True,False
catboost,balanced,0.0,0,,0,200,3,0.03,5,5,0.45,True,0.34770567393133905,28,44,6,113,0.8235294117647058,0.7197452229299363,74.0,5.285714285714286,0,False,False,True,False
catboost,balanced,0.0,0,,0,200,4,0.03,5,5,0.45,True,0.3068192175361134,28,44,6,113,0.8235294117647058,0.7197452229299363,74.0,5.285714285714286,0,False,False,True,False
catboost,1:5,0.0,0,,0,200,3,0.03,5,5,0.35,True,0.3063119644448026,28,44,6,113,0.8235294117647058,0.7197452229299363,74.0,5.285714285714286,0,False,False,True,False
rf,1:3,1.0,200,8.0,1,0,0,0.0,5,5,0.35,True,0.1784893433272381,28,44,6,113,0.8235294117647058,0.7197452229299363,74.0,5.285714285714286,0,False,False,True,False
catboost,1:5,0.0,0,,0,200,5,0.03,5,5,0.25,True,0.17803779259727617,28,44,6,113,0.8235294117647058,0.7197452229299363,74.0,5.285714285714286,0,False,False,True,False
catboost,1:5,0.0,0,,0,400,5,0.03,5,5,0.35,True,0.150000895654379,28,44,6,113,0.8235294117647058,0.7197452229299363,74.0,5.285714285714286,0,False,False,True,False
catboost,balanced,0.0,0,,0,400,5,0.03,5,5,0.45,True,0.14953014480366428,28,44,6,113,0.8235294117647058,0.7197452229299363,74.0,5.285714285714286,0,False,False,True,False
catboost,1:3,0.0,0,,0,200,5,0.03,5,5,0.25,True,0.12778151634488796,28,44,6,113,0.8235294117647058,0.7197452229299363,74.0,5.285714285714286,0,False,False,True,False
catboost,balanced,0.0,0,,0,200,5,0.05,5,5,0.25,True,0.10384859479513364,28,44,6,113,0.8235294117647058,0.7197452229299363,74.0,5.285714285714286,0,False,False,True,False
catboost,1:3,0.0,0,,0,400,5,0.05,5,5,0.35,True,0.04758028615880796,28,44,6,113,0.8235294117647058,0.7197452229299363,74.0,5.285714285714286,0,False,False,True,False
catboost,1:3,0.0,0,,0,200,5,0.03,5,5,0.35,True,0.15129148373470125,29,45,5,112,0.8529411764705882,0.7133757961783439,70.0,5.428571428571429,0,False,False,True,False
logreg,1:5,0.05,0,,0,0,0,0.0,5,5,0.45,True,0.43958391240896255,28,45,6,112,0.8235294117647058,0.7133757961783439,75.0,5.428571428571429,0,False,False,True,False
logreg,1:3,0.05,0,,0,0,0,0.0,5,5,0.45,True,0.37856706095632625,28,45,6,112,0.8235294117647058,0.7133757961783439,75.0,5.428571428571429,0,False,False,True,False
catboost,1:5,0.0,0,,0,200,4,0.03,5,5,0.45,True,0.3090008599093895,28,45,6,112,0.8235294117647058,0.7133757961783439,75.0,5.428571428571429,0,False,False,True,False
catboost,1:3,0.0,0,,0,200,3,0.03,5,5,0.35,True,0.227724620190831,28,45,6,112,0.8235294117647058,0.7133757961783439,75.0,5.428571428571429,0,False,False,True,False
catboost,1:5,0.0,0,,0,200,5,0.03,5,5,0.35,True,0.21142097725983705,28,45,6,112,0.8235294117647058,0.7133757961783439,75.0,5.428571428571429,0,False,False,True,False
rf,1:3,1.0,200,8.0,2,0,0,0.0,5,5,0.35,True,0.2070616032544185,28,45,6,112,0.8235294117647058,0.7133757961783439,75.0,5.428571428571429,0,False,False,True,False
rf,balanced,1.0,200,8.0,2,0,0,0.0,5,5,0.35,True,0.19236142281252094,28,45,6,112,0.8235294117647058,0.7133757961783439,75.0,5.428571428571429,0,False,False,True,False
catboost,1:5,0.0,0,,0,400,4,0.03,5,5,0.45,True,0.19101395200219945,28,45,6,112,0.8235294117647058,0.7133757961783439,75.0,5.428571428571429,0,False,False,True,False
catboost,1:3,0.0,0,,0,200,3,0.03,5,5,0.25,True,0.17948582617056172,28,45,6,112,0.8235294117647058,0.7133757961783439,75.0,5.428571428571429,0,False,False,True,False
catboost,1:5,0.0,0,,0,400,4,0.05,5,5,0.35,True,0.10301410541976655,28,45,6,112,0.8235294117647058,0.7133757961783439,75.0,5.428571428571429,0,False,False,True,False
catboost,1:3,0.0,0,,0,200,5,0.05,5,5,0.35,True,0.09328230302705307,28,45,6,112,0.8235294117647058,0.7133757961783439,75.0,5.428571428571429,0,False,False,True,False
catboost,1:3,0.0,0,,0,400,5,0.05,5,5,0.45,True,0.07083008321901962,28,45,6,112,0.8235294117647058,0.7133757961783439,75.0,5.428571428571429,0,False,False,True,False
catboost,1:3,0.0,0,,0,400,4,0.05,5,5,0.25,True,0.04043284697291326,28,45,6,112,0.8235294117647058,0.7133757961783439,75.0,5.428571428571429,0,False,False,True,False
catboost,balanced,0.0,0,,0,200,5,0.03,5,5,0.45,True,0.23308820489895793,29,46,5,111,0.8529411764705882,0.7070063694267515,71.0,5.571428571428571,0,False,False,True,False
catboost,balanced,0.0,0,,0,200,5,0.03,5,5,0.35,True,0.18616448776083808,29,46,5,111,0.8529411764705882,0.7070063694267515,71.0,5.571428571428571,0,False,False,True,False
logreg,1:8,0.05,0,,0,0,0,0.0,5,5,0.35,True,0.41976754983335995,28,46,6,111,0.8235294117647058,0.7070063694267515,76.0,5.571428571428571,0,False,False,True,False
logreg,1:5,0.05,0,,0,0,0,0.0,5,5,0.35,True,0.3645572887483145,28,46,6,111,0.8235294117647058,0.7070063694267515,76.0,5.571428571428571,0,False,False,True,False
catboost,1:8,0.0,0,,0,400,3,0.03,5,5,0.45,True,0.3477700471195072,28,46,6,111,0.8235294117647058,0.7070063694267515,76.0,5.571428571428571,0,False,False,True,False
logreg,1:3,0.05,0,,0,0,0,0.0,5,5,0.35,True,0.3081305170901807,28,46,6,111,0.8235294117647058,0.7070063694267515,76.0,5.571428571428571,0,False,False,True,False
catboost,balanced,0.0,0,,0,200,3,0.03,5,5,0.35,True,0.27987088887133654,28,46,6,111,0.8235294117647058,0.7070063694267515,76.0,5.571428571428571,0,False,False,True,False
catboost,1:8,0.0,0,,0,200,5,0.05,5,5,0.45,True,0.27477465533594564,28,46,6,111,0.8235294117647058,0.7070063694267515,76.0,5.571428571428571,0,False,False,True,False
catboost,1:5,0.0,0,,0,200,5,0.03,5,5,0.45,True,0.25638036996581015,28,46,6,111,0.8235294117647058,0.7070063694267515,76.0,5.571428571428571,0,False,False,True,False
catboost,1:8,0.0,0,,0,200,4,0.05,5,5,0.35,True,0.24187315141854837,28,46,6,111,0.8235294117647058,0.7070063694267515,76.0,5.571428571428571,0,False,False,True,False
catboost,balanced,0.0,0,,0,200,3,0.03,5,5,0.25,True,0.23170052208786993,28,46,6,111,0.8235294117647058,0.7070063694267515,76.0,5.571428571428571,0,False,False,True,False
catboost,1:8,0.0,0,,0,400,3,0.05,5,5,0.45,True,0.21674517830329365,28,46,6,111,0.8235294117647058,0.7070063694267515,76.0,5.571428571428571,0,False,False,True,False
catboost,1:5,0.0,0,,0,200,4,0.03,5,5,0.25,True,0.19899966585814785,28,46,6,111,0.8235294117647058,0.7070063694267515,76.0,5.571428571428571,0,False,False,True,False
catboost,1:5,0.0,0,,0,200,4,0.05,5,5,0.45,True,0.18183988667229184,28,46,6,111,0.8235294117647058,0.7070063694267515,76.0,5.571428571428571,0,False,False,True,False
