meta_model,class_weight_spec,meta_c,rf_n_estimators,rf_max_depth,rf_min_samples_leaf,cb_iterations,cb_depth,cb_learning_rate,subgroup_neg_boost,hard_neg_boost,hard_pos_boost,target_pos_ratio,threshold,n_splits,n_repeats,tp,fp,fn,tn,sens,spec,cost,constraint_violation,preserve_fn_excess,meets_max_fp,meets_target_fn,meets_preserve_fn_max,meets_both,phase
catboost,1:8,0.0,0,,0,400,6,0.05,0.35,1.0,0.6,0.35,0.09253832302203992,3,1,28,40,6,117,0.8235294117647058,0.7452229299363057,112.0,5.0,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,400,6,0.05,0.35,1.0,0.6,0.35,0.09253832302203992,3,1,28,40,6,117,0.8235294117647058,0.7452229299363057,112.0,5.0,0,False,False,True,False,full
