outer_fold,best_params,best_calibrator,decision_threshold,constraint_feasible,constraint_violation,roc_auc,pr_auc,brier,ece,sens,spec,fnr,fpr,tp,fp,tn,fn
1,"{""n_estimators"": 250, ""max_depth"": 2, ""learning_rate"": 0.05, ""min_child_weight"": 4.0, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""reg_lambda"": 6.0, ""gamma"": 1.0, ""scale_pos_weight"": 4.0}",platt,0.1982524023625064,False,5.0,0.8616071428571428,0.6963980463980464,0.10254016099777058,0.10099960757707685,0.8571428571428571,0.78125,0.14285714285714285,0.21875,6,7,25,1
2,"{""n_estimators"": 250, ""max_depth"": 2, ""learning_rate"": 0.05, ""min_child_weight"": 4.0, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""reg_lambda"": 6.0, ""gamma"": 1.0, ""scale_pos_weight"": 4.0}",none,0.5302952527999878,False,5.0,0.9375,0.787037037037037,0.09876143507570494,0.12010768799135753,0.6666666666666666,0.90625,0.3333333333333333,0.09375,4,3,29,2
3,"{""n_estimators"": 250, ""max_depth"": 2, ""learning_rate"": 0.05, ""min_child_weight"": 4.0, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""reg_lambda"": 6.0, ""gamma"": 1.0, ""scale_pos_weight"": 4.0}",isotonic,0.0865541318115611,False,6.0,0.9078341013824884,0.5809523809523809,0.11977887479399447,0.12038358608385369,1.0,0.7419354838709677,0.0,0.25806451612903225,7,8,23,0
4,"{""n_estimators"": 250, ""max_depth"": 2, ""learning_rate"": 0.05, ""min_child_weight"": 4.0, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""reg_lambda"": 6.0, ""gamma"": 1.0, ""scale_pos_weight"": 4.0}",platt,0.2048541673444343,False,4.0,0.8018433179723502,0.5232323232323233,0.12201005088465504,0.06723294091886164,0.7142857142857143,0.8387096774193549,0.2857142857142857,0.16129032258064516,5,5,26,2
5,"{""n_estimators"": 250, ""max_depth"": 2, ""learning_rate"": 0.05, ""min_child_weight"": 4.0, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""reg_lambda"": 6.0, ""gamma"": 1.0, ""scale_pos_weight"": 4.0}",isotonic,0.42857142857142855,False,5.666666666666667,0.9585253456221199,0.8095238095238095,0.06852130720044905,0.04750701635248718,0.7142857142857143,0.967741935483871,0.2857142857142857,0.03225806451612903,5,1,30,2
