stage1_meta_model,stage1_class_weight_spec,stage1_meta_c,stage1_rf_n_estimators,stage1_rf_max_depth,stage1_rf_min_samples_leaf,stage2_meta_model,stage2_class_weight_spec,stage2_meta_c,stage2_rf_n_estimators,stage2_rf_max_depth,stage2_rf_min_samples_leaf,n_splits,stage1_target_pos_ratio,stage2_target_pos_ratio,use_raw_features,tp,fp,fn,tn,sens,spec,cost,constraint_violation,meets_max_fp,meets_target_fn,meets_both
logreg,balanced,0.03,0,,0,logreg,balanced,0.05,0,,0,5,0.45,0.35,True,21,29,13,128,0.6176470588235294,0.8152866242038217,185.0,12.0,False,False,False
logreg,balanced,0.03,0,,0,logreg,"0:2,1:1",0.05,0,,0,5,0.45,0.35,True,21,29,13,128,0.6176470588235294,0.8152866242038217,185.0,12.0,False,False,False
logreg,balanced,0.03,0,,0,logreg,"0:3,1:1",0.05,0,,0,5,0.45,0.35,True,21,29,13,128,0.6176470588235294,0.8152866242038217,185.0,12.0,False,False,False
logreg,balanced,0.05,0,,0,logreg,balanced,0.1,0,,0,5,0.45,0.35,True,21,29,13,128,0.6176470588235294,0.8152866242038217,185.0,12.0,False,False,False
logreg,1:8,0.03,0,,0,logreg,"0:3,1:1",0.1,0,,0,5,0.45,0.35,True,21,30,13,127,0.6176470588235294,0.8089171974522293,186.0,12.0,False,False,False
logreg,1:5,0.03,0,,0,logreg,"0:3,1:1",0.1,0,,0,5,0.45,0.35,True,21,31,13,126,0.6176470588235294,0.802547770700637,187.0,12.0,False,False,False
logreg,1:5,0.03,0,,0,logreg,"0:2,1:1",0.05,0,,0,5,0.45,0.35,True,21,32,13,125,0.6176470588235294,0.7961783439490446,188.0,12.0,False,False,False
logreg,1:5,0.03,0,,0,logreg,"0:3,1:1",0.05,0,,0,5,0.45,0.35,True,21,32,13,125,0.6176470588235294,0.7961783439490446,188.0,12.0,False,False,False
logreg,balanced,0.03,0,,0,logreg,balanced,0.1,0,,0,5,0.45,0.35,True,21,32,13,125,0.6176470588235294,0.7961783439490446,188.0,12.0,False,False,False
logreg,balanced,0.03,0,,0,rf,"0:2,1:1",1.0,200,3.0,2,5,0.45,0.35,True,21,32,13,125,0.6176470588235294,0.7961783439490446,188.0,12.0,False,False,False
logreg,1:5,0.03,0,,0,rf,balanced,1.0,200,3.0,2,5,0.45,0.35,True,20,18,14,139,0.5882352941176471,0.8853503184713376,186.0,13.0,False,False,False
logreg,balanced,0.03,0,,0,rf,balanced,1.0,200,3.0,2,5,0.45,0.35,True,20,19,14,138,0.5882352941176471,0.8789808917197452,187.0,13.0,False,False,False
logreg,1:5,0.05,0,,0,rf,balanced,1.0,200,3.0,2,5,0.45,0.35,True,20,23,14,134,0.5882352941176471,0.8535031847133758,191.0,13.0,False,False,False
logreg,balanced,0.03,0,,0,logreg,"0:2,1:1",0.1,0,,0,5,0.45,0.35,True,20,27,14,130,0.5882352941176471,0.8280254777070064,195.0,13.0,False,False,False
logreg,balanced,0.03,0,,0,logreg,"0:3,1:1",0.1,0,,0,5,0.45,0.35,True,20,27,14,130,0.5882352941176471,0.8280254777070064,195.0,13.0,False,False,False
logreg,1:5,0.03,0,,0,logreg,balanced,0.1,0,,0,5,0.45,0.35,True,20,29,14,128,0.5882352941176471,0.8152866242038217,197.0,13.0,False,False,False
logreg,1:5,0.03,0,,0,logreg,"0:2,1:1",0.1,0,,0,5,0.45,0.35,True,20,29,14,128,0.5882352941176471,0.8152866242038217,197.0,13.0,False,False,False
logreg,balanced,0.03,0,,0,rf,"0:3,1:1",1.0,200,3.0,2,5,0.45,0.35,True,20,30,14,127,0.5882352941176471,0.8089171974522293,198.0,13.0,False,False,False
logreg,1:8,0.05,0,,0,rf,"0:2,1:1",1.0,200,3.0,2,5,0.45,0.35,True,19,18,15,139,0.5588235294117647,0.8853503184713376,198.0,14.0,False,False,False
logreg,1:8,0.05,0,,0,rf,"0:3,1:1",1.0,200,3.0,2,5,0.45,0.35,True,19,21,15,136,0.5588235294117647,0.8662420382165605,201.0,14.0,False,False,False
logreg,1:5,0.05,0,,0,rf,balanced,1.0,200,5.0,2,5,0.45,0.35,True,18,13,16,144,0.5294117647058824,0.9171974522292994,205.0,15.0,False,False,False
logreg,1:5,0.03,0,,0,rf,"0:2,1:1",1.0,200,5.0,2,5,0.45,0.35,True,18,14,16,143,0.5294117647058824,0.910828025477707,206.0,15.0,False,False,False
logreg,1:8,0.05,0,,0,rf,balanced,1.0,200,3.0,2,5,0.45,0.35,True,18,16,16,141,0.5294117647058824,0.8980891719745223,208.0,15.0,False,False,False
logreg,1:5,0.05,0,,0,rf,"0:2,1:1",1.0,200,5.0,2,5,0.45,0.35,True,18,18,16,139,0.5294117647058824,0.8853503184713376,210.0,15.0,False,False,False
logreg,balanced,0.03,0,,0,rf,"0:3,1:1",1.0,200,5.0,2,5,0.45,0.35,True,18,20,16,137,0.5294117647058824,0.8726114649681529,212.0,15.0,False,False,False
logreg,1:5,0.05,0,,0,rf,"0:3,1:1",1.0,200,5.0,2,5,0.45,0.35,True,18,21,16,136,0.5294117647058824,0.8662420382165605,213.0,15.0,False,False,False
logreg,1:8,0.03,0,,0,rf,"0:2,1:1",1.0,200,5.0,2,5,0.45,0.35,True,17,11,17,146,0.5,0.9299363057324841,215.0,16.0,False,False,False
logreg,1:8,0.03,0,,0,rf,"0:3,1:1",1.0,200,5.0,2,5,0.45,0.35,True,17,15,17,142,0.5,0.9044585987261147,219.0,16.0,False,False,False
logreg,balanced,0.05,0,,0,rf,"0:2,1:1",1.0,200,5.0,2,5,0.45,0.35,True,16,11,18,146,0.47058823529411764,0.9299363057324841,227.0,17.0,False,False,False
