model_name,logreg_c,dtree_max_depth,dtree_min_leaf,xgb_n_estimators,xgb_max_depth,xgb_learning_rate,xgb_min_child_weight,xgb_subsample,xgb_colsample_bytree,xgb_reg_lambda,xgb_gamma,cb_iterations,cb_depth,cb_learning_rate,cb_l2_leaf_reg,threshold,tp,fp,fn,tn,sens,spec
xgboost,0.0,0,0,30,4,0.03,2.0,0.85,0.9,3.0,0.0,0,0,0.0,0.0,0.3663753569126129,31,32,3,125,0.9117647058823529,0.7961783439490446
xgboost,0.0,0,0,30,3,0.03,2.0,0.9,0.9,3.0,0.2,0,0,0.0,0.0,0.364716500043869,31,32,3,125,0.9117647058823529,0.7961783439490446
xgboost,0.0,0,0,30,4,0.03,2.0,0.9,0.9,3.0,0.2,0,0,0.0,0.0,0.364716500043869,31,32,3,125,0.9117647058823529,0.7961783439490446
xgboost,0.0,0,0,50,3,0.02,2.0,0.9,0.9,3.0,0.0,0,0,0.0,0.0,0.35560324788093567,31,32,3,125,0.9117647058823529,0.7961783439490446
xgboost,0.0,0,0,50,4,0.02,2.0,0.9,0.9,3.0,0.0,0,0,0.0,0.0,0.35560324788093567,31,32,3,125,0.9117647058823529,0.7961783439490446
xgboost,0.0,0,0,50,4,0.02,2.0,0.9,0.9,1.0,0.2,0,0,0.0,0.0,0.32729989290237427,31,32,3,125,0.9117647058823529,0.7961783439490446
xgboost,0.0,0,0,50,3,0.03,2.0,0.9,0.8,3.0,0.0,0,0,0.0,0.0,0.3269914388656616,31,32,3,125,0.9117647058823529,0.7961783439490446
xgboost,0.0,0,0,50,4,0.03,2.0,0.9,0.8,3.0,0.0,0,0,0.0,0.0,0.3265429437160492,31,32,3,125,0.9117647058823529,0.7961783439490446
xgboost,0.0,0,0,50,4,0.02,2.0,0.9,0.9,1.0,0.0,0,0,0.0,0.0,0.32606399059295654,31,32,3,125,0.9117647058823529,0.7961783439490446
xgboost,0.0,0,0,80,4,0.02,2.0,0.9,0.9,3.0,0.2,0,0,0.0,0.0,0.30438777804374695,31,32,3,125,0.9117647058823529,0.7961783439490446
xgboost,0.0,0,0,80,3,0.02,2.0,0.9,0.8,1.0,0.0,0,0,0.0,0.0,0.2784447968006134,31,32,3,125,0.9117647058823529,0.7961783439490446
xgboost,0.0,0,0,80,4,0.03,2.0,0.9,0.8,3.0,0.0,0,0,0.0,0.0,0.27698084712028503,31,32,3,125,0.9117647058823529,0.7961783439490446
xgboost,0.0,0,0,80,4,0.03,2.0,0.9,0.8,3.0,0.2,0,0,0.0,0.0,0.2760305404663086,31,32,3,125,0.9117647058823529,0.7961783439490446
xgboost,0.0,0,0,80,3,0.02,2.0,0.85,0.9,1.0,0.0,0,0,0.0,0.0,0.2760032117366791,31,32,3,125,0.9117647058823529,0.7961783439490446
xgboost,0.0,0,0,80,4,0.02,2.0,0.85,0.9,1.0,0.0,0,0,0.0,0.0,0.2760032117366791,31,32,3,125,0.9117647058823529,0.7961783439490446
xgboost,0.0,0,0,80,3,0.02,2.0,0.9,0.8,1.0,0.2,0,0,0.0,0.0,0.273150235414505,31,32,3,125,0.9117647058823529,0.7961783439490446
xgboost,0.0,0,0,80,4,0.03,2.0,0.9,0.9,3.0,0.0,0,0,0.0,0.0,0.27273303270339966,31,32,3,125,0.9117647058823529,0.7961783439490446
xgboost,0.0,0,0,80,3,0.02,2.0,0.9,0.9,1.0,0.0,0,0,0.0,0.0,0.27026820182800293,31,32,3,125,0.9117647058823529,0.7961783439490446
xgboost,0.0,0,0,50,3,0.03,2.0,0.9,0.8,1.0,0.0,0,0,0.0,0.0,0.26859205961227417,31,32,3,125,0.9117647058823529,0.7961783439490446
xgboost,0.0,0,0,50,3,0.03,2.0,0.9,0.8,1.0,0.2,0,0,0.0,0.0,0.2682986259460449,31,32,3,125,0.9117647058823529,0.7961783439490446
xgboost,0.0,0,0,80,4,0.02,2.0,0.9,0.9,1.0,0.0,0,0,0.0,0.0,0.2679429352283478,31,32,3,125,0.9117647058823529,0.7961783439490446
xgboost,0.0,0,0,50,4,0.03,2.0,0.9,0.8,1.0,0.0,0,0,0.0,0.0,0.2658970057964325,31,32,3,125,0.9117647058823529,0.7961783439490446
xgboost,0.0,0,0,80,3,0.03,2.0,0.9,0.8,1.0,0.2,0,0,0.0,0.0,0.21999125182628632,31,32,3,125,0.9117647058823529,0.7961783439490446
logreg,0.3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.05272976110969741,31,32,3,125,0.9117647058823529,0.7961783439490446
xgboost,0.0,0,0,30,3,0.02,2.0,0.85,0.9,6.0,0.0,0,0,0.0,0.0,0.41510826349258423,31,33,3,124,0.9117647058823529,0.7898089171974523
xgboost,0.0,0,0,30,4,0.02,2.0,0.85,0.9,6.0,0.0,0,0,0.0,0.0,0.41510826349258423,31,33,3,124,0.9117647058823529,0.7898089171974523
