threshold,tp,fp,fn,tn,sensitivity,specificity
1e-06,34,157,0,0,1.0,0.0
0.1123560789711503,34,157,0,0,1.0,0.0
0.1132473374698803,34,156,0,1,1.0,0.006369426751592357
0.1140452565291506,34,155,0,2,1.0,0.012738853503184714
0.114398391736216,34,154,0,3,1.0,0.01910828025477707
0.1143996679959032,34,153,0,4,1.0,0.025477707006369428
0.1151223216549194,34,152,0,5,1.0,0.03184713375796178
0.1157559565910213,34,151,0,6,1.0,0.03821656050955414
0.1157969330750254,34,150,0,7,1.0,0.044585987261146494
0.1158040576421263,34,149,0,8,1.0,0.050955414012738856
0.1165746218262828,34,148,0,9,1.0,0.05732484076433121
0.1182848917436555,34,147,0,10,1.0,0.06369426751592357
0.1215088481614482,34,146,0,11,1.0,0.07006369426751592
0.1231064184190061,34,145,0,12,1.0,0.07643312101910828
0.1243061714628229,34,144,0,13,1.0,0.08280254777070063
0.1254740426963503,34,143,0,14,1.0,0.08917197452229299
0.1273286620441068,34,142,0,15,1.0,0.09554140127388536
0.1274140618513052,34,141,0,16,1.0,0.10191082802547771
0.1278235629873424,34,140,0,17,1.0,0.10828025477707007
0.1279326464292691,34,139,0,18,1.0,0.11464968152866242
0.1330842424527407,34,138,0,19,1.0,0.12101910828025478
0.1343583586517646,34,137,0,20,1.0,0.12738853503184713
0.1370006672171817,34,136,0,21,1.0,0.1337579617834395
0.1473684210526315,34,135,0,22,1.0,0.14012738853503184
0.1480016468886013,34,134,0,23,1.0,0.1464968152866242
0.1518883461570688,33,134,1,23,0.9705882352941176,0.1464968152866242
0.1545652306970367,33,133,1,24,0.9705882352941176,0.15286624203821655
0.1588370175775221,33,132,1,25,0.9705882352941176,0.1592356687898089
0.163796745401786,32,132,2,25,0.9411764705882353,0.1592356687898089
0.1657962899430992,32,131,2,26,0.9411764705882353,0.16560509554140126
0.1667032915299076,32,130,2,27,0.9411764705882353,0.17197452229299362
0.1672479018458634,32,129,2,28,0.9411764705882353,0.17834394904458598
0.1684371898336307,32,128,2,29,0.9411764705882353,0.18471337579617833
0.1699331389939293,32,127,2,30,0.9411764705882353,0.1910828025477707
0.1699338746607889,32,126,2,31,0.9411764705882353,0.19745222929936307
0.1707619171131535,32,125,2,32,0.9411764705882353,0.20382165605095542
0.1715255169211596,32,124,2,33,0.9411764705882353,0.21019108280254778
0.1727645938061165,32,123,2,34,0.9411764705882353,0.21656050955414013
0.1728886157465394,31,123,3,34,0.9117647058823529,0.21656050955414013
0.1730526557818541,31,122,3,35,0.9117647058823529,0.2229299363057325
0.1732359202734009,31,121,3,36,0.9117647058823529,0.22929936305732485
0.1733625994839496,31,120,3,37,0.9117647058823529,0.2356687898089172
0.1734726568682656,31,119,3,38,0.9117647058823529,0.24203821656050956
0.1736167098267378,31,118,3,39,0.9117647058823529,0.2484076433121019
0.1740583137761597,31,117,3,40,0.9117647058823529,0.25477707006369427
0.1741642721584977,31,116,3,41,0.9117647058823529,0.2611464968152866
0.1742573527570103,31,115,3,42,0.9117647058823529,0.267515923566879
0.1746197351758619,31,114,3,43,0.9117647058823529,0.27388535031847133
0.1746711435675802,31,113,3,44,0.9117647058823529,0.2802547770700637
0.1747724062850463,31,112,3,45,0.9117647058823529,0.28662420382165604
0.1747896049769471,31,111,3,46,0.9117647058823529,0.2929936305732484
0.1749408954409518,31,110,3,47,0.9117647058823529,0.29936305732484075
0.1749423148641434,31,109,3,48,0.9117647058823529,0.3057324840764331
0.1750156959873212,31,108,3,49,0.9117647058823529,0.31210191082802546
0.1750489890720836,30,108,4,49,0.8823529411764706,0.31210191082802546
0.1753291107687331,30,107,4,50,0.8823529411764706,0.3184713375796178
0.1753702086360856,30,106,4,51,0.8823529411764706,0.3248407643312102
0.1754375525827848,30,105,4,52,0.8823529411764706,0.33121019108280253
0.175467504863712,30,104,4,53,0.8823529411764706,0.3375796178343949
0.175668896658008,30,103,4,54,0.8823529411764706,0.34394904458598724
0.1757129158314545,30,102,4,55,0.8823529411764706,0.3503184713375796
0.1757575657849578,30,101,4,56,0.8823529411764706,0.35668789808917195
0.1757615272722607,30,100,4,57,0.8823529411764706,0.3630573248407643
0.1758026976233253,30,99,4,58,0.8823529411764706,0.36942675159235666
0.1758261288662052,30,98,4,59,0.8823529411764706,0.37579617834394907
0.1759208819810893,30,97,4,60,0.8823529411764706,0.3821656050955414
0.1761160488575799,30,96,4,61,0.8823529411764706,0.3885350318471338
0.1761989882227778,30,95,4,62,0.8823529411764706,0.39490445859872614
0.1762025658610629,30,94,4,63,0.8823529411764706,0.4012738853503185
0.176226829388388,30,93,4,64,0.8823529411764706,0.40764331210191085
0.1762541310699866,30,92,4,65,0.8823529411764706,0.4140127388535032
0.1762555962230376,30,91,4,66,0.8823529411764706,0.42038216560509556
0.176260244370501,30,90,4,67,0.8823529411764706,0.4267515923566879
0.1762684381163825,30,89,4,68,0.8823529411764706,0.43312101910828027
0.1762976634202513,29,89,5,68,0.8529411764705882,0.43312101910828027
0.1763122982972603,29,88,5,69,0.8529411764705882,0.4394904458598726
0.1763608132658038,28,88,6,69,0.8235294117647058,0.4394904458598726
0.176374160829436,28,87,6,70,0.8235294117647058,0.445859872611465
0.1763742352334028,28,86,6,71,0.8235294117647058,0.45222929936305734
0.1763814498006393,28,85,6,72,0.8235294117647058,0.4585987261146497
0.1763957869630243,28,84,6,73,0.8235294117647058,0.46496815286624205
0.1764001360733215,28,83,6,74,0.8235294117647058,0.4713375796178344
0.176404393394941,28,82,6,75,0.8235294117647058,0.47770700636942676
0.1764107291525189,28,81,6,76,0.8235294117647058,0.4840764331210191
0.1764826783138166,28,80,6,77,0.8235294117647058,0.49044585987261147
0.1765671695204102,28,79,6,78,0.8235294117647058,0.4968152866242038
0.1765866645203376,28,78,6,79,0.8235294117647058,0.5031847133757962
0.1766937201646533,28,77,6,80,0.8235294117647058,0.5095541401273885
