meta_model,class_weight_spec,meta_c,rf_n_estimators,rf_max_depth,rf_min_samples_leaf,cb_iterations,cb_depth,cb_learning_rate,n_splits,n_repeats,target_pos_ratio,use_raw_features,threshold,tp,fp,fn,tn,sens,spec,cost,constraint_violation,preserve_fn_excess,meets_max_fp,meets_target_fn,meets_preserve_fn_max,meets_both
catboost,balanced,0.0,0,,0,200,4,0.05,5,1,0.45,True,0.16553796241064278,28,46,6,111,0.8235294117647058,0.7070063694267515,76.0,5.571428571428571,0,False,False,True,False
catboost,1:5,0.0,0,,0,200,4,0.05,5,1,0.45,True,0.1538684877469926,28,51,6,106,0.8235294117647058,0.6751592356687898,81.0,6.285714285714286,0,False,False,True,False
catboost,1:5,0.0,0,,0,200,3,0.05,5,1,0.45,True,0.14016172938852925,28,62,6,95,0.8235294117647058,0.6050955414012739,92.0,7.857142857142857,0,False,False,True,False
catboost,balanced,0.0,0,,0,200,3,0.05,5,1,0.45,True,0.09771587884364846,28,65,6,92,0.8235294117647058,0.5859872611464968,95.0,8.285714285714286,0,False,False,True,False
