model,roc_auc,pr_auc,brier,ece,brier_ci_low,brier_ci_high,ece_ci_low,ece_ci_high,calibration
svm_rbf,0.7183402023229674,0.29131751877752,0.19286045895516776,0.14516691705182938,0.0941810302115989,0.1573578502381237,0.041402788690424,0.1223708363004158,
catboost,0.8404833270887972,0.627417594089071,0.10735009257494435,0.0755546090735699,0.0834595915745234,0.1441572604197852,0.0348222601821738,0.1082980091170414,
mlp,0.7570251030348445,0.45557472479789296,0.13418490311318063,0.09239897368807724,0.114189768465736,0.190748258360277,0.0176033162223341,0.0927198218056192,
ensemble,0.7913076058448856,0.4051504550655203,0.14819630736778494,0.08867783881676852,0.100298679372045,0.1645871364524646,0.0787040575247489,0.1643172603973929,
