p_t,NB_model_all,NB_model_defined,NB_treat_all,NB_treat_none
0.1,0.7989528795811519,0.8068458207272943,0.8022105875509017,0.0
0.11,0.7947408671098299,0.8026839115281019,0.7999882346020355,0.0
0.12,0.7928605425987625,0.8009027811483765,0.797715373631604,0.0
0.13,0.7909851357043991,0.7991297997557548,0.7953902629836914,0.0
0.13999999999999999,0.7887738950444417,0.7970175939606899,0.7930110799951298,0.0
0.14999999999999997,0.7865106251924854,0.7948556892057411,0.7905759162303665,0.0
0.15999999999999998,0.7841934679631015,0.7926423105280553,0.7880827723759661,0.0
0.16999999999999998,0.7822494165142244,0.7908130117908903,0.785529552766038,0.0
0.17999999999999997,0.7798493168177755,0.7885223913637962,0.7829140595070873,0.0
0.18999999999999995,0.7752957145627303,0.7840396010888981,0.7802339861676686,0.0
0.19999999999999996,0.7727748691099476,0.7816337426588361,0.7774869109947644,0.0
0.20999999999999996,0.7701902047849426,0.7791669764204181,0.7746702896149513,0.0
0.21999999999999995,0.7654450261780105,0.7745013484468903,0.7717814471741173,0.0
0.22999999999999995,0.762725232882301,0.7719056170737965,0.7688175698646903,0.0
0.23999999999999994,0.7605952052907137,0.7699159805546969,0.7657756957839625,0.0
0.24999999999999992,0.7556719022687609,0.7650827549386012,0.7626527050610821,0.0
0.2599999999999999,0.7506721381066932,0.7601766208279822,0.7594453091835291,0.0
0.2699999999999999,0.7476870114035717,0.7573301933020793,0.7561500394463172,0.0
0.2799999999999999,0.7446189645142526,0.7544046983449012,0.7527632344386271,0.0
0.2899999999999999,0.7414644937688961,0.7513967950790702,0.749281026472974,0.0
0.29999999999999993,0.7382198952879582,0.7483029517199298,0.7456993268511594,0.0
0.30999999999999994,0.7348812504742394,0.7451194317416838,0.7420138098490022,0.0
0.3199999999999999,0.731444410224823,0.7418422788229013,0.7382198952879582,0.0
0.32999999999999985,0.7279049777291554,0.7384673004438566,0.7343127295459875,0.0
0.33999999999999986,0.724258289703316,0.7349900499927196,0.7302871648421387,0.0
0.34999999999999987,0.7216270640354411,0.7325557517762536,0.7261377366089409,0.0
0.3599999999999999,0.7157068062827225,0.7289108382274426,0.7218586387434556,0.0
0.3699999999999999,0.7117593285132553,0.7251502131373995,0.7174436965012883,0.0
0.3799999999999999,0.7076845127512245,0.7212682775605808,0.7128863367674381,0.0
0.3899999999999999,0.7034760964724058,0.7172590654074729,0.7081795554029698,0.0
0.3999999999999998,0.6991273996509599,0.7131162128492614,0.7033158813263527,0.0
0.4099999999999998,0.6960866092821014,0.7088329246111106,0.6982873369420536,0.0
0.4199999999999998,0.6930131792742373,0.7044019367785408,0.6930853944755373,0.0
0.4299999999999998,0.6883255258565262,0.6998154756886878,0.6877009277119501,0.0
0.43999999999999984,0.681376215407629,0.6950652124170544,0.6821241585639493,0.0
0.44999999999999984,0.6763445978105664,0.6901422122991797,0.6763445978105666,0.0
0.45999999999999985,0.6711266240062052,0.6850368788436061,0.670350979251503,0.0
0.46999999999999986,0.6675689024992592,0.6797388912953691,0.6641311864071917,0.0
0.47999999999999976,0.6620217478856223,0.674237134995277,0.6576721707611761,0.0
0.48999999999999977,0.6562570577969409,0.6685196235461617,0.6509598603839444,0.0
0.4999999999999998,0.6481675392670159,0.6625734116390818,0.6439790575916232,0.0
0.5099999999999998,0.6419275563628595,0.6563844972051822,0.6367133240730849,0.0
0.5199999999999998,0.6354275741710298,0.6499377113365368,0.6291448516579409,0.0
0.5299999999999998,0.6312799376183581,0.6432165941543321,0.6212543165868332,0.0
0.5399999999999998,0.6238788982472117,0.6362032544859445,0.6130207147735035,0.0
0.5499999999999998,0.6166957533449682,0.6288782108322952,0.6044211751018036,0.0
0.5599999999999997,0.6091861018562592,0.6212202106489347,0.5954307472632083,0.0
0.5699999999999997,0.6054791184707173,0.617439998013385,0.5860221599902596,0.0
0.5799999999999997,0.5962104213413116,0.6079882032898587,0.5761655447519325,0.0
0.5899999999999997,0.5879708849444518,0.5995858997564885,0.5658281190141747,0.0
0.5999999999999998,0.5772251308900526,0.5886278697277098,0.554973821989529,0.0
0.6099999999999998,0.5676063901194794,0.5788191164592662,0.5435628943482349,0.0
0.6199999999999998,0.5648663543675946,0.5760249529322508,0.5315513915679253,0.0
0.6299999999999997,0.5565445026178013,0.5675387079551524,0.5188906183670586,0.0
0.6399999999999997,0.5442699243746368,0.5550216527258709,0.5055264688772547,0.0
0.6499999999999997,0.5391922213911746,0.5498436427427355,0.4913986537023191,0.0
0.6599999999999997,0.5301201108715741,0.5405923180804627,0.47643979057591673,0.0
0.6699999999999997,0.5175471997461529,0.5277710365804336,0.46057432968427786,0.0
0.6799999999999997,0.5037303664921469,0.5136812600106785,0.44371727748691153,0.0
0.6899999999999997,0.48598209761864586,0.4955823846511551,0.4257726735348764,0.0
0.6999999999999996,0.47294938917975626,0.4822922228154481,0.4066317626527059,0.0
0.7099999999999996,0.4567611482217012,0.46578419279415345,0.386170788951075,0.0
0.7199999999999996,0.440089753178759,0.4487834642666469,0.3642483171278992,0.0
0.7299999999999996,0.42520845452782685,0.4336081944197273,0.34070195850300655,0.0
0.7399999999999997,0.4052758759565048,0.4132818596246258,0.315344341522353,0.0
0.7499999999999997,0.39005235602094296,0.3977576081153236,0.2879581151832471,0.0
0.7599999999999997,0.36527050610820305,0.3724862075102337,0.2582897033158823,0.0
0.7699999999999997,0.3403141361256551,0.3470368392952489,0.22604142954700768,0.0
0.7799999999999997,0.3151356496906242,0.32136096684948856,0.1908614945264172,0.0
0.7899999999999996,0.2828222388431822,0.2884092238069824,0.1523310895038661,0.0
0.7999999999999996,0.26963350785340406,0.2749599572877745,0.10994764397905943,0.0
0.8099999999999996,0.23331496279967023,0.23792396099699425,0.06310278313585216,0.0
0.8199999999999996,0.1936009307737065,0.19742540191018654,0.01105293775451055,0.0
0.8299999999999996,0.17634739759778328,0.17983103545742984,-0.0471204188481652,0.0
0.8399999999999996,0.15785340314136187,0.16097170315002732,-0.11256544502617538,0.0
0.8499999999999996,0.14415357766143155,0.14700124577326978,-0.1867364746945871,0.0
0.8599999999999995,0.11944652206432371,0.12180611700099214,-0.2715033657441991,0.0
0.8699999999999996,0.09105920257752775,0.09285802291675282,-0.3693113169552912,0.0
0.8799999999999996,0.07661431064572476,0.07812778074390514,-0.48342059336823173,0.0
0.8899999999999996,0.060161827701095155,0.06135028879289467,-0.6182770109471617,0.0
0.8999999999999996,0.029319371727749177,0.029898558462360364,-0.780104712041877,0.0
