meta_model,class_weight_spec,meta_c,rf_n_estimators,rf_max_depth,rf_min_samples_leaf,cb_iterations,cb_depth,cb_learning_rate,target_pos_ratio,threshold,n_splits,n_repeats,tp,fp,fn,tn,sens,spec,cost,constraint_violation,preserve_fn_excess,meets_max_fp,meets_target_fn,meets_preserve_fn_max,meets_both,phase
catboost,1:8,0.0,0,,0,450,5,0.03,0.4,0.26202906203220333,3,1,28,39,6,118,0.8235294117647058,0.7515923566878981,111.0,5.0,0,False,False,True,False,coarse
catboost,1:10,0.0,0,,0,500,5,0.05,0.4,0.24219149335371717,3,1,28,39,6,118,0.8235294117647058,0.7515923566878981,111.0,5.0,0,False,False,True,False,coarse
catboost,1:9,0.0,0,,0,450,6,0.05,0.4,0.21190145803265883,3,1,28,39,6,118,0.8235294117647058,0.7515923566878981,111.0,5.0,0,False,False,True,False,coarse
catboost,1:9,0.0,0,,0,500,6,0.05,0.4,0.19765613224909778,3,1,28,39,6,118,0.8235294117647058,0.7515923566878981,111.0,5.0,0,False,False,True,False,coarse
catboost,1:9,0.0,0,,0,500,6,0.05,0.3,0.11437320520074473,3,1,28,39,6,118,0.8235294117647058,0.7515923566878981,111.0,5.0,0,False,False,True,False,coarse
catboost,1:10,0.0,0,,0,400,5,0.03,0.4,0.3219845541447133,3,1,28,40,6,117,0.8235294117647058,0.7452229299363057,112.0,5.0,0,False,False,True,False,coarse
catboost,1:9,0.0,0,,0,350,5,0.03,0.4,0.31798440308373005,3,1,28,40,6,117,0.8235294117647058,0.7452229299363057,112.0,5.0,0,False,False,True,False,coarse
catboost,1:9,0.0,0,,0,450,5,0.03,0.4,0.2737843838598246,3,1,28,40,6,117,0.8235294117647058,0.7452229299363057,112.0,5.0,0,False,False,True,False,coarse
catboost,1:10,0.0,0,,0,450,6,0.03,0.4,0.2665873605530248,3,1,28,40,6,117,0.8235294117647058,0.7452229299363057,112.0,5.0,0,False,False,True,False,coarse
catboost,1:9,0.0,0,,0,350,6,0.05,0.4,0.2297564324611817,3,1,28,40,6,117,0.8235294117647058,0.7452229299363057,112.0,5.0,0,False,False,True,False,coarse
catboost,1:9,0.0,0,,0,400,6,0.05,0.4,0.21496182965907037,3,1,28,40,6,117,0.8235294117647058,0.7452229299363057,112.0,5.0,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,350,5,0.03,0.35,0.20696971356243282,3,1,28,40,6,117,0.8235294117647058,0.7452229299363057,112.0,5.0,0,False,False,True,False,coarse
catboost,1:10,0.0,0,,0,350,6,0.05,0.4,0.20259059739742472,3,1,28,40,6,117,0.8235294117647058,0.7452229299363057,112.0,5.0,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,350,6,0.03,0.3,0.200038229388433,3,1,28,40,6,117,0.8235294117647058,0.7452229299363057,112.0,5.0,0,False,False,True,False,coarse
catboost,1:9,0.0,0,,0,350,5,0.05,0.3,0.18833007079279437,3,1,28,40,6,117,0.8235294117647058,0.7452229299363057,112.0,5.0,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,400,5,0.03,0.35,0.17998789775777507,3,1,28,40,6,117,0.8235294117647058,0.7452229299363057,112.0,5.0,0,False,False,True,False,coarse
catboost,1:9,0.0,0,,0,400,5,0.05,0.3,0.17371740773379643,3,1,28,40,6,117,0.8235294117647058,0.7452229299363057,112.0,5.0,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,400,6,0.03,0.3,0.16860676049549425,3,1,28,40,6,117,0.8235294117647058,0.7452229299363057,112.0,5.0,0,False,False,True,False,coarse
catboost,1:9,0.0,0,,0,500,5,0.03,0.3,0.16210781606099567,3,1,28,40,6,117,0.8235294117647058,0.7452229299363057,112.0,5.0,0,False,False,True,False,coarse
catboost,1:9,0.0,0,,0,450,5,0.05,0.3,0.1615257585543335,3,1,28,40,6,117,0.8235294117647058,0.7452229299363057,112.0,5.0,0,False,False,True,False,coarse
catboost,1:7,0.0,0,,0,400,5,0.05,0.4,0.16051000343298416,3,1,28,40,6,117,0.8235294117647058,0.7452229299363057,112.0,5.0,0,False,False,True,False,coarse
catboost,1:9,0.0,0,,0,400,6,0.05,0.35,0.1567616540910318,3,1,28,40,6,117,0.8235294117647058,0.7452229299363057,112.0,5.0,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,450,6,0.03,0.3,0.1555440563271439,3,1,28,40,6,117,0.8235294117647058,0.7452229299363057,112.0,5.0,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,400,6,0.05,0.4,0.1515476380867699,3,1,28,40,6,117,0.8235294117647058,0.7452229299363057,112.0,5.0,0,False,False,True,False,coarse
catboost,1:9,0.0,0,,0,500,5,0.05,0.3,0.14737619387545067,3,1,28,40,6,117,0.8235294117647058,0.7452229299363057,112.0,5.0,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,450,6,0.05,0.4,0.13944564524654324,3,1,28,40,6,117,0.8235294117647058,0.7452229299363057,112.0,5.0,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,500,6,0.05,0.4,0.13275473533506998,3,1,28,40,6,117,0.8235294117647058,0.7452229299363057,112.0,5.0,0,False,False,True,False,coarse
catboost,1:10,0.0,0,,0,350,5,0.03,0.4,0.34566601999623014,3,1,28,41,6,116,0.8235294117647058,0.7388535031847133,113.0,5.0,0,False,False,True,False,coarse
catboost,1:10,0.0,0,,0,450,5,0.03,0.4,0.3137550377688263,3,1,28,41,6,116,0.8235294117647058,0.7388535031847133,113.0,5.0,0,False,False,True,False,coarse
catboost,1:10,0.0,0,,0,500,5,0.03,0.4,0.29336736005369324,3,1,28,41,6,116,0.8235294117647058,0.7388535031847133,113.0,5.0,0,False,False,True,False,coarse
catboost,1:9,0.0,0,,0,400,5,0.03,0.4,0.28300336118949115,3,1,28,41,6,116,0.8235294117647058,0.7388535031847133,113.0,5.0,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,400,6,0.03,0.4,0.22847773948037137,3,1,28,41,6,116,0.8235294117647058,0.7388535031847133,113.0,5.0,0,False,False,True,False,coarse
catboost,1:10,0.0,0,,0,500,5,0.03,0.35,0.21979437182170136,3,1,28,41,6,116,0.8235294117647058,0.7388535031847133,113.0,5.0,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,450,6,0.03,0.4,0.2106555095438563,3,1,28,41,6,116,0.8235294117647058,0.7388535031847133,113.0,5.0,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,500,6,0.03,0.4,0.19159792256224326,3,1,28,41,6,116,0.8235294117647058,0.7388535031847133,113.0,5.0,0,False,False,True,False,coarse
catboost,1:7,0.0,0,,0,350,5,0.05,0.4,0.17456722247491624,3,1,28,41,6,116,0.8235294117647058,0.7388535031847133,113.0,5.0,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,500,5,0.05,0.4,0.16948852358467814,3,1,28,41,6,116,0.8235294117647058,0.7388535031847133,113.0,5.0,0,False,False,True,False,coarse
catboost,1:7,0.0,0,,0,450,5,0.03,0.4,0.16783826063216659,3,1,28,41,6,116,0.8235294117647058,0.7388535031847133,113.0,5.0,0,False,False,True,False,coarse
catboost,1:7,0.0,0,,0,500,5,0.03,0.4,0.15945491309717866,3,1,28,41,6,116,0.8235294117647058,0.7388535031847133,113.0,5.0,0,False,False,True,False,coarse
catboost,1:9,0.0,0,,0,450,6,0.05,0.35,0.14494337940221383,3,1,28,41,6,116,0.8235294117647058,0.7388535031847133,113.0,5.0,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,500,6,0.03,0.3,0.14303149645118884,3,1,28,41,6,116,0.8235294117647058,0.7388535031847133,113.0,5.0,0,False,False,True,False,coarse
catboost,1:9,0.0,0,,0,500,6,0.05,0.35,0.13878219671708414,3,1,28,41,6,116,0.8235294117647058,0.7388535031847133,113.0,5.0,0,False,False,True,False,coarse
catboost,1:7,0.0,0,,0,450,5,0.05,0.35,0.09021032011857127,3,1,28,41,6,116,0.8235294117647058,0.7388535031847133,113.0,5.0,0,False,False,True,False,coarse
catboost,1:7,0.0,0,,0,500,5,0.05,0.35,0.08524878077019576,3,1,28,41,6,116,0.8235294117647058,0.7388535031847133,113.0,5.0,0,False,False,True,False,coarse
catboost,1:10,0.0,0,,0,400,6,0.03,0.4,0.27786030868807277,3,1,28,42,6,115,0.8235294117647058,0.732484076433121,114.0,5.0,0,False,False,True,False,coarse
catboost,1:10,0.0,0,,0,400,5,0.03,0.35,0.25766946991353795,3,1,28,42,6,115,0.8235294117647058,0.732484076433121,114.0,5.0,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,350,6,0.03,0.4,0.2576565980708788,3,1,28,42,6,115,0.8235294117647058,0.732484076433121,114.0,5.0,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,500,5,0.03,0.4,0.22203680441022516,3,1,28,42,6,115,0.8235294117647058,0.732484076433121,114.0,5.0,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,350,5,0.03,0.3,0.1901376361434165,3,1,28,42,6,115,0.8235294117647058,0.732484076433121,114.0,5.0,0,False,False,True,False,coarse
catboost,1:7,0.0,0,,0,400,5,0.03,0.4,0.1859465921275245,3,1,28,42,6,115,0.8235294117647058,0.732484076433121,114.0,5.0,0,False,False,True,False,coarse
