meta_model,class_weight_spec,meta_c,rf_n_estimators,rf_max_depth,rf_min_samples_leaf,n_splits,n_repeats,target_pos_ratio,use_raw_features,threshold,tp,fp,fn,tn,sens,spec,cost,constraint_violation,meets_max_fp,meets_target_fn,meets_both
rf,1:8,1.0,200,,1,5,8,0.45,True,0.1825,27,42,7,115,0.7941176470588235,0.732484076433121,126.0,6.0,False,False,False
rf,1:8,1.0,500,,1,5,8,0.45,True,0.17825000000000002,27,42,7,115,0.7941176470588235,0.732484076433121,126.0,6.0,False,False,False
rf,balanced,1.0,200,,1,5,8,0.45,True,0.190625,27,43,7,114,0.7941176470588235,0.7261146496815286,127.0,6.0,False,False,False
rf,balanced,1.0,500,8.0,1,5,8,0.45,True,0.18951151204056668,27,44,7,113,0.7941176470588235,0.7197452229299363,128.0,6.0,False,False,False
rf,balanced,1.0,500,,1,5,8,0.45,True,0.18775,27,44,7,113,0.7941176470588235,0.7197452229299363,128.0,6.0,False,False,False
rf,1:8,1.0,200,,2,5,8,0.45,True,0.22273147388990824,27,45,7,112,0.7941176470588235,0.7133757961783439,129.0,6.0,False,False,False
rf,1:3,1.0,200,8.0,2,5,8,0.45,True,0.21545376340599037,27,45,7,112,0.7941176470588235,0.7133757961783439,129.0,6.0,False,False,False
rf,1:2,1.0,200,8.0,2,5,8,0.45,True,0.21113014707501715,27,45,7,112,0.7941176470588235,0.7133757961783439,129.0,6.0,False,False,False
rf,1:3,1.0,200,,2,5,8,0.45,True,0.2103752747011116,27,45,7,112,0.7941176470588235,0.7133757961783439,129.0,6.0,False,False,False
rf,1:2,1.0,200,8.0,1,5,8,0.45,True,0.1933505575746182,27,45,7,112,0.7941176470588235,0.7133757961783439,129.0,6.0,False,False,False
rf,balanced,1.0,200,8.0,1,5,8,0.45,True,0.19087070142408813,27,45,7,112,0.7941176470588235,0.7133757961783439,129.0,6.0,False,False,False
rf,1:2,1.0,200,,1,5,8,0.45,True,0.189375,27,45,7,112,0.7941176470588235,0.7133757961783439,129.0,6.0,False,False,False
rf,1:2,1.0,500,,1,5,8,0.45,True,0.18375,27,45,7,112,0.7941176470588235,0.7133757961783439,129.0,6.0,False,False,False
rf,balanced,1.0,200,3.0,4,5,8,0.45,True,0.2853013657294958,27,46,7,111,0.7941176470588235,0.7070063694267515,130.0,6.0,False,False,False
rf,1:5,1.0,200,8.0,1,5,8,0.45,True,0.22207565363906698,27,46,7,111,0.7941176470588235,0.7070063694267515,130.0,6.0,False,False,False
rf,balanced,1.0,500,5.0,1,5,8,0.45,True,0.21803105919614713,27,46,7,111,0.7941176470588235,0.7070063694267515,130.0,6.0,False,False,False
rf,1:2,1.0,200,,2,5,8,0.45,True,0.20943920662670662,27,46,7,111,0.7941176470588235,0.7070063694267515,130.0,6.0,False,False,False
rf,balanced,1.0,200,8.0,2,5,8,0.45,True,0.2061214752088899,27,46,7,111,0.7941176470588235,0.7070063694267515,130.0,6.0,False,False,False
rf,balanced,1.0,500,,2,5,8,0.45,True,0.20419176244474507,27,46,7,111,0.7941176470588235,0.7070063694267515,130.0,6.0,False,False,False
rf,balanced,1.0,500,8.0,2,5,8,0.45,True,0.20415830756069359,27,46,7,111,0.7941176470588235,0.7070063694267515,130.0,6.0,False,False,False
rf,1:2,1.0,500,8.0,1,5,8,0.45,True,0.18737520524489112,27,46,7,111,0.7941176470588235,0.7070063694267515,130.0,6.0,False,False,False
rf,1:3,1.0,200,,1,5,8,0.45,True,0.18437499999999998,27,46,7,111,0.7941176470588235,0.7070063694267515,130.0,6.0,False,False,False
rf,1:3,1.0,500,,1,5,8,0.45,True,0.18275,27,46,7,111,0.7941176470588235,0.7070063694267515,130.0,6.0,False,False,False
rf,1:5,1.0,200,,1,5,8,0.45,True,0.17125,27,46,7,111,0.7941176470588235,0.7070063694267515,130.0,6.0,False,False,False
logreg,balanced,0.5,0,,0,5,8,0.45,True,0.13630935830295063,27,46,7,111,0.7941176470588235,0.7070063694267515,130.0,6.0,False,False,False
logreg,balanced,1.0,0,,0,5,8,0.45,True,0.11792524290878612,27,46,7,111,0.7941176470588235,0.7070063694267515,130.0,6.0,False,False,False
rf,balanced,1.0,200,3.0,2,5,8,0.45,True,0.2747284253140383,27,47,7,110,0.7941176470588235,0.7006369426751592,131.0,6.0,False,False,False
rf,1:2,1.0,500,8.0,4,5,8,0.45,True,0.254290098317149,27,47,7,110,0.7941176470588235,0.7006369426751592,131.0,6.0,False,False,False
rf,1:2,1.0,500,,4,5,8,0.45,True,0.2539710605673669,27,47,7,110,0.7941176470588235,0.7006369426751592,131.0,6.0,False,False,False
rf,balanced,1.0,500,5.0,2,5,8,0.45,True,0.22526214718231757,27,47,7,110,0.7941176470588235,0.7006369426751592,131.0,6.0,False,False,False
rf,1:8,1.0,500,,2,5,8,0.45,True,0.21342270047980794,27,47,7,110,0.7941176470588235,0.7006369426751592,131.0,6.0,False,False,False
rf,1:3,1.0,500,,2,5,8,0.45,True,0.20995381361745513,27,47,7,110,0.7941176470588235,0.7006369426751592,131.0,6.0,False,False,False
