stage1_threshold,stage2_meta_model,stage2_class_weight_spec,stage2_meta_c,stage2_rf_n_estimators,stage2_rf_max_depth,stage2_rf_min_samples_leaf,stage2_cb_iterations,stage2_cb_depth,stage2_cb_learning_rate,auto_positive_top_frac,stage2_min_subgroup_score,stage2_target_pos_ratio,tp,fp,tn,fn,sens,spec,cost,constraint_violation,preserve_fn_excess,meets_preserve_fn_max,meets_max_fp,meets_target_fn,meets_both
0.21446130820543216,logreg,balanced,0.05,0,,0,0,0,0.0,0.15,3.0,0.35,24,27,130,10,0.7058823529411765,0.8280254777070064,147.0,9.0,4,False,False,False,False
0.21446130820543216,logreg,"0:2,1:1",0.05,0,,0,0,0,0.0,0.15,3.0,0.35,24,27,130,10,0.7058823529411765,0.8280254777070064,147.0,9.0,4,False,False,False,False
0.21446130820543216,logreg,"0:3,1:1",0.05,0,,0,0,0,0.0,0.15,3.0,0.35,24,27,130,10,0.7058823529411765,0.8280254777070064,147.0,9.0,4,False,False,False,False
0.21446130820543216,logreg,balanced,0.05,0,,0,0,0,0.0,0.0,3.0,0.35,23,25,132,11,0.6764705882352942,0.8407643312101911,157.0,10.0,5,False,False,False,False
0.21446130820543216,logreg,"0:2,1:1",0.05,0,,0,0,0,0.0,0.0,3.0,0.35,23,25,132,11,0.6764705882352942,0.8407643312101911,157.0,10.0,5,False,False,False,False
0.21446130820543216,logreg,"0:3,1:1",0.05,0,,0,0,0,0.0,0.0,3.0,0.35,23,25,132,11,0.6764705882352942,0.8407643312101911,157.0,10.0,5,False,False,False,False
0.21446130820543216,logreg,balanced,0.05,0,,0,0,0,0.0,0.5,1.0,0.35,22,16,141,12,0.6470588235294118,0.8980891719745223,160.0,11.0,6,False,False,False,False
0.21446130820543216,logreg,"0:2,1:1",0.05,0,,0,0,0,0.0,0.5,1.0,0.35,22,16,141,12,0.6470588235294118,0.8980891719745223,160.0,11.0,6,False,False,False,False
0.21446130820543216,logreg,"0:3,1:1",0.05,0,,0,0,0,0.0,0.5,1.0,0.35,22,16,141,12,0.6470588235294118,0.8980891719745223,160.0,11.0,6,False,False,False,False
0.21446130820543216,logreg,"0:2,1:1",0.05,0,,0,0,0,0.0,0.35,2.0,0.35,22,21,136,12,0.6470588235294118,0.8662420382165605,165.0,11.0,6,False,False,False,False
0.21446130820543216,logreg,"0:3,1:1",0.05,0,,0,0,0,0.0,0.35,2.0,0.35,22,21,136,12,0.6470588235294118,0.8662420382165605,165.0,11.0,6,False,False,False,False
0.21446130820543216,logreg,balanced,0.1,0,,0,0,0,0.0,0.0,3.0,0.35,22,25,132,12,0.6470588235294118,0.8407643312101911,169.0,11.0,6,False,False,False,False
0.21446130820543216,logreg,"0:2,1:1",0.1,0,,0,0,0,0.0,0.0,3.0,0.35,22,25,132,12,0.6470588235294118,0.8407643312101911,169.0,11.0,6,False,False,False,False
0.21446130820543216,logreg,"0:3,1:1",0.1,0,,0,0,0,0.0,0.0,3.0,0.35,22,25,132,12,0.6470588235294118,0.8407643312101911,169.0,11.0,6,False,False,False,False
0.21446130820543216,logreg,balanced,0.1,0,,0,0,0,0.0,0.5,1.0,0.35,21,15,142,13,0.6176470588235294,0.9044585987261147,171.0,12.0,7,False,False,False,False
0.21446130820543216,logreg,"0:2,1:1",0.1,0,,0,0,0,0.0,0.15,2.0,0.35,21,15,142,13,0.6176470588235294,0.9044585987261147,171.0,12.0,7,False,False,False,False
0.21446130820543216,logreg,"0:2,1:1",0.1,0,,0,0,0,0.0,0.5,1.0,0.35,21,15,142,13,0.6176470588235294,0.9044585987261147,171.0,12.0,7,False,False,False,False
0.21446130820543216,logreg,"0:3,1:1",0.1,0,,0,0,0,0.0,0.15,2.0,0.35,21,15,142,13,0.6176470588235294,0.9044585987261147,171.0,12.0,7,False,False,False,False
0.21446130820543216,logreg,"0:3,1:1",0.1,0,,0,0,0,0.0,0.5,1.0,0.35,21,15,142,13,0.6176470588235294,0.9044585987261147,171.0,12.0,7,False,False,False,False
0.21446130820543216,logreg,"0:2,1:1",0.1,0,,0,0,0,0.0,0.0,2.0,0.35,21,16,141,13,0.6176470588235294,0.8980891719745223,172.0,12.0,7,False,False,False,False
0.21446130820543216,logreg,"0:3,1:1",0.1,0,,0,0,0,0.0,0.0,2.0,0.35,21,16,141,13,0.6176470588235294,0.8980891719745223,172.0,12.0,7,False,False,False,False
0.21446130820543216,logreg,balanced,0.05,0,,0,0,0,0.0,0.0,2.0,0.35,21,18,139,13,0.6176470588235294,0.8853503184713376,174.0,12.0,7,False,False,False,False
0.21446130820543216,logreg,"0:2,1:1",0.05,0,,0,0,0,0.0,0.0,2.0,0.35,21,18,139,13,0.6176470588235294,0.8853503184713376,174.0,12.0,7,False,False,False,False
0.21446130820543216,logreg,"0:3,1:1",0.05,0,,0,0,0,0.0,0.0,2.0,0.35,21,18,139,13,0.6176470588235294,0.8853503184713376,174.0,12.0,7,False,False,False,False
0.21446130820543216,logreg,balanced,0.05,0,,0,0,0,0.0,0.15,2.0,0.35,21,19,138,13,0.6176470588235294,0.8789808917197452,175.0,12.0,7,False,False,False,False
0.21446130820543216,logreg,"0:2,1:1",0.05,0,,0,0,0,0.0,0.15,2.0,0.35,21,20,137,13,0.6176470588235294,0.8726114649681529,176.0,12.0,7,False,False,False,False
0.21446130820543216,logreg,"0:3,1:1",0.05,0,,0,0,0,0.0,0.15,2.0,0.35,21,20,137,13,0.6176470588235294,0.8726114649681529,176.0,12.0,7,False,False,False,False
0.21446130820543216,logreg,balanced,0.05,0,,0,0,0,0.0,0.35,2.0,0.35,21,21,136,13,0.6176470588235294,0.8662420382165605,177.0,12.0,7,False,False,False,False
0.21446130820543216,logreg,balanced,0.1,0,,0,0,0,0.0,0.15,2.0,0.35,20,15,142,14,0.5882352941176471,0.9044585987261147,183.0,13.0,8,False,False,False,False
0.21446130820543216,logreg,balanced,0.1,0,,0,0,0,0.0,0.0,2.0,0.35,20,17,140,14,0.5882352941176471,0.89171974522293,185.0,13.0,8,False,False,False,False
0.21446130820543216,logreg,balanced,0.1,0,,0,0,0,0.0,0.35,2.0,0.35,19,19,138,15,0.5588235294117647,0.8789808917197452,199.0,14.0,9,False,False,False,False
