bin,mean_p,mean_y,n_bin,weight,abs_diff,ece_term
0,0.6670270431957539,0.40425531914893614,47,0.10444444444444445,0.26277172404681776,0.027445046733778747
1,0.7705973858356286,0.9069767441860465,43,0.09555555555555556,0.1363793583504178,0.013031805353484369
2,0.7983263726729709,0.6888888888888889,45,0.1,0.10943748378408202,0.010943748378408204
3,0.8130158567850101,0.7555555555555555,45,0.1,0.05746030122945456,0.005746030122945456
4,0.8217387125550163,0.8888888888888888,45,0.1,0.06715017633387255,0.006715017633387255
5,0.8353914571104669,0.8,45,0.1,0.03539145711046687,0.0035391457110466873
6,0.8531148522216662,0.9347826086956522,46,0.10222222222222223,0.08166775647398605,0.00834825955067413
7,0.8748921317901696,0.8936170212765957,47,0.10444444444444445,0.018724889486426144,0.0019557106796933973
8,0.8890454427740866,0.9777777777777777,45,0.1,0.08873233500369115,0.008873233500369115
9,0.9042181620935545,1.0,42,0.09333333333333334,0.09578183790644546,0.008939638204601577
