threshold,tp,fp,fn,tn,sensitivity,specificity,fpr,fnr
0.0,34,157,0,0,1.0,0.0,1.0,0.0
0.0205510446615532,30,142,4,15,0.8823529411764706,0.09554140127388536,0.9044585987261147,0.11764705882352941
0.0519480519480519,30,141,4,16,0.8823529411764706,0.10191082802547771,0.8980891719745223,0.11764705882352941
0.0833333333333333,29,136,5,21,0.8529411764705882,0.1337579617834395,0.8662420382165605,0.14705882352941177
0.0983522138763648,28,136,6,21,0.8235294117647058,0.1337579617834395,0.8662420382165605,0.17647058823529413
0.1123560789711503,28,135,6,22,0.8235294117647058,0.14012738853503184,0.8598726114649682,0.17647058823529413
0.1132473374698803,28,134,6,23,0.8235294117647058,0.1464968152866242,0.8535031847133758,0.17647058823529413
0.1140452565291506,28,133,6,24,0.8235294117647058,0.15286624203821655,0.8471337579617835,0.17647058823529413
0.114398391736216,28,132,6,25,0.8235294117647058,0.1592356687898089,0.8407643312101911,0.17647058823529413
0.1143996679959032,28,131,6,26,0.8235294117647058,0.16560509554140126,0.8343949044585988,0.17647058823529413
0.1151223216549194,28,130,6,27,0.8235294117647058,0.17197452229299362,0.8280254777070064,0.17647058823529413
0.1157559565910213,28,129,6,28,0.8235294117647058,0.17834394904458598,0.821656050955414,0.17647058823529413
0.1157969330750254,28,128,6,29,0.8235294117647058,0.18471337579617833,0.8152866242038217,0.17647058823529413
0.1158040576421263,28,127,6,30,0.8235294117647058,0.1910828025477707,0.8089171974522293,0.17647058823529413
0.1165746218262828,28,126,6,31,0.8235294117647058,0.19745222929936307,0.802547770700637,0.17647058823529413
0.1182848917436555,28,125,6,32,0.8235294117647058,0.20382165605095542,0.7961783439490446,0.17647058823529413
0.1192477102871271,28,124,6,33,0.8235294117647058,0.21019108280254778,0.7898089171974523,0.17647058823529413
0.1193554398100893,27,124,7,33,0.7941176470588235,0.21019108280254778,0.7898089171974523,0.20588235294117646
0.119899926315766,27,123,7,34,0.7941176470588235,0.21656050955414013,0.7834394904458599,0.20588235294117646
0.1201078844620377,27,122,7,35,0.7941176470588235,0.2229299363057325,0.7770700636942676,0.20588235294117646
0.1211657260020768,27,121,7,36,0.7941176470588235,0.22929936305732485,0.7707006369426752,0.20588235294117646
0.1215088481614482,27,120,7,37,0.7941176470588235,0.2356687898089172,0.7643312101910829,0.20588235294117646
0.1231064184190061,27,119,7,38,0.7941176470588235,0.24203821656050956,0.7579617834394905,0.20588235294117646
0.1233380149324833,27,118,7,39,0.7941176470588235,0.2484076433121019,0.7515923566878981,0.20588235294117646
0.1241356198463835,27,117,7,40,0.7941176470588235,0.25477707006369427,0.7452229299363057,0.20588235294117646
0.1243061714628229,27,116,7,41,0.7941176470588235,0.2611464968152866,0.7388535031847133,0.20588235294117646
0.1254740426963503,27,115,7,42,0.7941176470588235,0.267515923566879,0.732484076433121,0.20588235294117646
0.1273286620441068,27,114,7,43,0.7941176470588235,0.27388535031847133,0.7261146496815286,0.20588235294117646
0.1274140618513052,27,113,7,44,0.7941176470588235,0.2802547770700637,0.7197452229299363,0.20588235294117646
0.1278235629873424,27,112,7,45,0.7941176470588235,0.28662420382165604,0.7133757961783439,0.20588235294117646
0.1279326464292691,27,111,7,46,0.7941176470588235,0.2929936305732484,0.7070063694267515,0.20588235294117646
0.1330842424527407,27,110,7,47,0.7941176470588235,0.29936305732484075,0.7006369426751592,0.20588235294117646
0.1343583586517646,27,109,7,48,0.7941176470588235,0.3057324840764331,0.6942675159235668,0.20588235294117646
0.1360106829792827,27,108,7,49,0.7941176470588235,0.31210191082802546,0.6878980891719745,0.20588235294117646
0.1473684210526315,27,107,7,50,0.7941176470588235,0.3184713375796178,0.6815286624203821,0.20588235294117646
0.1480016468886013,26,106,8,51,0.7647058823529411,0.3248407643312102,0.6751592356687898,0.23529411764705882
0.1545652306970367,25,106,9,51,0.7352941176470589,0.3248407643312102,0.6751592356687898,0.2647058823529412
0.163796745401786,25,105,9,52,0.7352941176470589,0.33121019108280253,0.6687898089171974,0.2647058823529412
0.1672479018458634,25,104,9,53,0.7352941176470589,0.3375796178343949,0.6624203821656051,0.2647058823529412
0.1699331389939293,25,103,9,54,0.7352941176470589,0.34394904458598724,0.6560509554140127,0.2647058823529412
0.1699338746607889,25,102,9,55,0.7352941176470589,0.3503184713375796,0.6496815286624203,0.2647058823529412
0.1715255169211596,25,101,9,56,0.7352941176470589,0.35668789808917195,0.643312101910828,0.2647058823529412
0.1733625994839496,25,100,9,57,0.7352941176470589,0.3630573248407643,0.6369426751592356,0.2647058823529412
0.1734726568682656,25,99,9,58,0.7352941176470589,0.36942675159235666,0.6305732484076433,0.2647058823529412
